Date (America/Los_Angeles),Author,Comment
"2011-04-06 19:12:56","amhistorydebate",""
"2011-04-06 19:11:29","amhistorydebate",""
"2011-04-06 19:10:22","amhistorydebate",""
"2011-04-06 18:26:19","amhistorydebate",""
"2011-04-06 18:17:36","amhistorydebate",""
"2011-04-06 17:57:02","amhistorydebate",""
"2011-04-06 14:26:14","amhistorydebate",""
"2010-11-16 13:34:38","amhistorydebate",""
"2010-11-16 13:33:32","amhistorydebate",""
"2010-11-16 13:25:18","amhistorydebate",""
"2010-10-13 16:10:10","celiajl",""
