Date (America/Los_Angeles),Author,Comment
"2011-02-15 09:19:23","OxfordComma",""
"2011-02-15 09:08:35","OxfordComma",""
"2011-02-15 08:47:44","OxfordComma",""
"2011-01-09 21:06:38","OxfordComma",""
"2011-01-09 21:05:38","OxfordComma",""
"2011-01-09 21:04:46","OxfordComma",""
"2011-01-09 20:56:33","OxfordComma",""
"2011-01-09 20:55:37","OxfordComma",""
"2010-12-05 18:35:23","OxfordComma",""
"2010-12-05 18:33:01","OxfordComma",""
"2010-12-05 18:32:24","OxfordComma",""
"2010-11-06 14:09:47","OxfordComma",""
"2010-10-18 20:00:58","OxfordComma",""
"2010-10-06 09:50:38","OxfordComma",""
"2010-10-06 09:49:14","OxfordComma",""
"2010-10-06 09:46:04","OxfordComma",""
"2010-10-06 09:45:02","OxfordComma",""
"2010-10-06 09:29:51","OxfordComma",""
"2010-10-06 09:15:46","OxfordComma",""
"2010-10-06 09:13:44","OxfordComma",""
"2010-10-06 09:07:36","OxfordComma",""
"2010-10-06 09:06:03","OxfordComma","Reverted to Oct 5, 2010 9:37 pm: Revertz"
"2010-10-06 08:01:42","OxfordComma",""
"2010-10-05 21:37:54","OxfordComma",""
"2010-09-26 12:37:09","OxfordComma",""
"2010-09-20 18:02:08","OxfordComma",""
"2010-09-20 17:59:24","OxfordComma",""
"2010-09-19 19:29:43","OxfordComma",""
