Date (America/Los_Angeles),Author,Comment
"2011-05-24 18:00:32","davidherman94",""
"2011-05-17 21:04:09","davidherman94",""
"2011-05-17 20:58:14","davidherman94",""
"2011-05-17 20:54:01","davidherman94",""
"2011-05-17 20:28:32","davidherman94",""
"2011-05-17 20:20:32","davidherman94",""
"2011-05-17 20:11:17","davidherman94",""
"2011-05-17 20:03:37","davidherman94",""
"2011-04-26 06:54:56","davidherman94",""
"2011-02-27 09:31:03","davidherman94",""
"2011-02-23 18:27:04","davidherman94",""
"2011-02-22 14:02:19","davidherman94",""
"2011-02-22 13:50:58","davidherman94",""
"2011-02-22 13:48:48","davidherman94",""
"2011-02-22 13:25:17","davidherman94",""
"2011-02-22 13:10:15","davidherman94",""
"2011-02-22 12:59:08","davidherman94",""
"2011-02-22 12:47:45","davidherman94",""
"2011-02-22 12:36:08","davidherman94",""
"2011-02-09 21:44:26","davidherman94",""
"2011-02-09 21:43:02","davidherman94",""
"2011-02-09 21:34:33","davidherman94",""
"2011-02-09 21:24:51","davidherman94",""
"2011-02-09 21:21:14","davidherman94",""
"2011-02-09 15:55:09","davidherman94",""
"2011-02-09 15:53:32","davidherman94",""
"2011-02-09 09:49:03","davidherman94",""
"2011-02-08 20:39:48","davidherman94",""
"2011-02-08 20:38:28","davidherman94",""
"2011-02-08 20:34:17","davidherman94",""
"2011-02-08 20:15:01","davidherman94",""
"2011-02-08 20:13:33","davidherman94",""
"2011-02-08 20:06:55","davidherman94",""
"2011-02-06 16:38:30","davidherman94",""
"2011-02-06 16:33:31","davidherman94",""
"2010-12-27 10:47:04","davidherman94",""
"2010-12-27 10:41:58","davidherman94","Reverted to Dec 27, 2010 12:30 am"
"2010-12-27 07:06:15","jaman123",""
"2010-12-26 21:30:02","davidherman94",""
"2010-12-26 21:28:04","davidherman94",""
"2010-12-26 18:52:25","davidherman94","Reverted to Dec 26, 2010 6:08 pm"
"2010-12-26 17:48:27","jaman123",""
"2010-12-26 15:08:30","davidherman94",""
"2010-12-26 14:57:57","davidherman94",""
"2010-12-26 14:52:33","davidherman94",""
"2010-12-26 14:41:59","davidherman94",""
"2010-12-26 14:40:29","davidherman94",""
"2010-12-26 14:27:20","davidherman94",""
"2010-12-24 15:44:42","davidherman94",""
"2010-12-24 15:41:47","davidherman94",""
"2010-12-24 15:36:46","davidherman94",""
"2010-12-24 15:19:02","davidherman94",""
"2010-12-24 15:10:05","davidherman94",""
"2010-12-06 12:07:13","davidherman94",""
"2010-12-06 11:54:50","emmccarty",""
"2010-12-06 11:48:41","davidherman94",""
"2010-12-06 11:46:47","davidherman94",""
"2010-12-06 11:45:21","davidherman94",""
"2010-12-06 11:40:07","davidherman94",""
"2010-11-10 19:37:12","davidherman94",""
"2010-11-10 12:17:11","davidherman94",""
"2010-11-10 12:12:48","davidherman94",""
"2010-11-10 12:03:43","davidherman94",""
"2010-11-10 12:00:28","davidherman94",""
"2010-11-10 06:17:32","davidherman94","Reverted to Nov 10, 2010 8:41 am: whew 2.0"
"2010-11-10 06:01:40","davidherman94",""
"2010-11-10 05:51:58","davidherman94",""
"2010-11-10 05:41:14","davidherman94",""
"2010-11-09 13:49:35","davidherman94",""
"2010-11-09 13:43:30","davidherman94",""
"2010-11-05 07:30:44","davidherman94",""
"2010-10-27 16:28:35","davidherman94",""
"2010-10-26 12:36:50","davidherman94",""
"2010-10-25 20:40:47","isaac123456789",""
"2010-10-22 16:36:06","davidherman94",""
"2010-10-22 16:15:49","davidherman94",""
"2010-10-22 16:01:19","davidherman94",""
"2010-10-22 15:54:11","davidherman94",""
"2010-10-22 15:46:27","davidherman94",""
"2010-10-22 15:44:45","davidherman94",""
"2010-09-19 11:36:33","davidherman94","Reverted to Sep 18, 2010 8:39 pm: saved... whew"
"2010-09-19 11:33:15","davidherman94",""
"2010-09-19 11:32:55","davidherman94",""
"2010-09-19 10:41:45","",""
"2010-09-19 10:37:19","",""
"2010-09-18 17:39:59","davidherman94",""
"2010-09-15 19:22:27","davidherman94",""
"2010-09-15 19:11:16","davidherman94",""
"2010-09-15 19:08:32","davidherman94",""
"2010-09-15 18:48:25","davidherman94",""
"2010-09-15 18:43:27","davidherman94",""
"2010-09-15 18:32:43","davidherman94",""
"2010-09-15 13:59:30","davidherman94",""
"2010-09-15 13:57:44","davidherman94",""
"2010-09-15 13:46:23","",""
"2010-09-15 13:41:37","davidherman94",""
"2010-09-15 13:34:05","",""
"2010-09-15 13:33:13","",""
"2010-09-15 13:32:00","davidherman94",""
"2010-09-15 13:22:31","davidherman94",""
"2010-09-15 13:06:39","davidherman94",""
