Date (America/Los_Angeles),Author,Comment
"2011-04-23 14:02:02","Lyall_Stuart",""
"2011-04-23 14:00:51","Lyall_Stuart",""
"2011-04-16 07:35:20","Lyall_Stuart",""
"2011-03-19 11:32:49","Lyall_Stuart",""
"2011-03-19 11:26:03","Lyall_Stuart",""
"2011-03-19 11:21:20","Lyall_Stuart",""
"2011-01-31 15:20:57","Lyall_Stuart",""
"2010-12-31 14:34:43","Lyall_Stuart",""
"2010-12-21 11:47:49","Lyall_Stuart",""
"2010-12-12 09:33:55","Lyall_Stuart",""
"2010-12-12 09:28:22","Lyall_Stuart",""
"2010-11-20 19:23:40","Lyall_Stuart",""
"2010-11-20 19:20:37","Lyall_Stuart",""
"2010-10-21 07:44:11","Lyall_Stuart",""
"2010-10-21 07:41:34","Lyall_Stuart",""
"2010-10-20 09:18:21","Lyall_Stuart",""
"2010-10-20 09:14:07","Lyall_Stuart",""
"2010-10-20 09:05:28","Lyall_Stuart",""
"2010-10-15 19:25:42","Lyall_Stuart",""
"2010-10-15 07:51:45","mccuedebate",""
"2010-10-15 07:43:50","mccuedebate",""
"2010-10-15 07:29:28","mccuedebate",""
"2010-10-04 12:07:55","chris.patterson",""
"2010-10-04 12:07:17","chris.patterson",""
"2010-10-03 19:19:04","Lyall_Stuart",""
"2010-10-03 19:13:19","Lyall_Stuart",""
"2010-09-19 15:11:17","Lyall_Stuart",""
"2010-09-12 06:09:27","Azharu",""
"2010-09-09 20:26:44","Lyall_Stuart",""
"2010-09-09 20:25:30","Lyall_Stuart",""
"2010-09-09 12:36:30","Lyall_Stuart",""
"2010-09-09 12:32:07","Lyall_Stuart",""
"2010-09-09 12:30:50","Lyall_Stuart",""
"2010-09-09 12:21:43","Lyall_Stuart",""
"2010-09-09 12:21:42","Lyall_Stuart",""
"2010-09-09 12:20:41","Lyall_Stuart",""
"2010-09-09 10:34:31","Lyall_Stuart",""
"2010-09-09 10:33:27","Lyall_Stuart",""
"2010-09-09 10:32:52","Lyall_Stuart",""
"2010-09-09 09:27:32","Lyall_Stuart",""
"2010-09-09 09:26:59","Lyall_Stuart",""
"2010-09-09 09:25:45","Lyall_Stuart",""
"2010-09-03 15:27:30","billbatterman",""
