Date (America/Los_Angeles),Author,Comment
"2011-02-11 13:11:05","nathanieleli",""
"2011-02-11 13:00:52","nathanieleli",""
"2010-12-21 18:49:03","jcreisman",""
"2010-12-21 18:44:23","jcreisman",""
"2010-12-06 20:17:13","nathanieleli",""
"2010-09-12 08:32:39","timalderete",""
"2010-09-12 08:30:12","timalderete",""
"2010-09-12 08:19:11","timalderete",""
"2010-09-12 08:18:09","timalderete",""
"2010-09-12 08:17:06","timalderete",""
"2010-09-12 08:13:39","timalderete",""
"2010-09-11 13:35:05","timalderete",""
"2010-09-11 13:26:44","timalderete",""
"2010-09-11 09:02:46","timalderete",""
"2010-09-06 08:56:37","billbatterman",""
