Date (America/Los_Angeles),Author,Comment
"2010-09-13 20:52:05","",""
"2010-09-13 20:51:19","",""
"2010-09-13 20:51:04","",""
"2010-09-13 20:50:25","",""
"2010-09-13 20:45:46","",""
"2010-09-13 20:18:20","",""
"2010-09-11 19:07:04","Stephanie.Permut",""
"2010-09-11 19:06:36","Stephanie.Permut",""
"2010-09-11 19:06:06","Stephanie.Permut",""
"2010-09-11 19:05:29","Stephanie.Permut",""
"2010-09-11 18:57:19","Stephanie.Permut",""
"2010-09-11 18:56:09","Stephanie.Permut",""
"2010-09-11 08:45:39","Azharu",""
"2010-09-06 08:57:28","billbatterman",""
