Date (America/Los_Angeles),Author,Comment
"2011-03-06 09:22:32","NashuaDebate",""
"2011-03-06 08:12:40","NashuaDebate",""
"2011-03-06 08:10:09","NashuaDebate",""
"2011-03-06 08:01:59","NashuaDebate",""
"2011-03-05 12:48:42","NashuaDebate",""
"2011-03-05 05:26:17","NashuaDebate",""
"2011-03-03 15:32:36","NashuaDebate",""
"2011-03-03 15:31:27","NashuaDebate",""
"2011-03-02 14:37:36","NashuaDebate",""
"2011-02-21 14:36:05","NashuaDebate",""
"2011-02-20 15:53:03","NashuaDebate",""
"2011-02-20 11:44:10","NashuaDebate",""
"2011-02-20 11:42:42","NashuaDebate",""
"2011-02-20 11:41:14","NashuaDebate",""
"2011-02-20 09:27:16","NashuaDebate",""
"2011-02-19 14:35:55","NashuaDebate",""
"2011-02-14 16:56:23","NashuaDebate",""
"2010-12-15 17:38:03","NashuaHighDebate",""
"2010-12-15 17:37:02","NashuaHighDebate",""
"2010-12-14 18:16:21","NashuaHighDebate",""
"2010-11-13 03:02:41","NashuaDebate",""
"2010-10-30 04:32:54","NashuaDebate",""
"2010-09-09 18:36:45","NashuaDebate",""
