Date (America/Los_Angeles),Author,Comment
"2011-03-27 17:32:24","mccuedebate",""
"2011-03-27 17:31:58","mccuedebate",""
"2011-03-21 12:16:19","mccuedebate",""
"2011-03-21 12:16:18","mccuedebate",""
"2011-01-18 09:45:20","mccuedebate",""
"2011-01-13 08:20:46","mccuedebate",""
"2010-12-13 16:54:06","mccuedebate",""
"2010-12-05 15:28:28","mccuedebate",""
"2010-12-05 15:26:41","mccuedebate",""
"2010-12-03 22:40:24","mccuedebate",""
"2010-12-03 22:40:05","alexander.fields-lefkovic",""
"2010-12-03 22:39:58","alexander.fields-lefkovic",""
"2010-11-02 11:48:33","mccuedebate",""
"2010-10-11 14:31:41","mccuedebate",""
"2010-09-26 06:09:52","mccuedebate",""
"2010-09-25 19:38:00","alexander.fieldslefkovic",""
"2010-09-25 19:36:27","alexander.fieldslefkovic",""
"2010-09-25 19:33:34","alexander.fieldslefkovic",""
"2010-09-25 19:31:43","alexander.fieldslefkovic",""
"2010-09-25 16:59:36","alexander.fieldslefkovic",""
"2010-09-21 03:50:22","mccuedebate",""
"2010-09-18 17:42:42","",""
"2010-09-18 17:40:59","",""
"2010-09-17 20:02:47","alexander.fields-lefkovic",""
"2010-09-17 18:28:06","alexander.fields-lefkovic",""
"2010-09-17 18:25:12","alexander.fields-lefkovic",""
"2010-09-17 18:24:02","alexander.fields-lefkovic",""
"2010-09-17 18:20:13","alexander.fields-lefkovic",""
"2010-09-17 18:17:51","alexander.fields-lefkovic",""
"2010-09-17 18:15:00","alexander.fields-lefkovic",""
"2010-09-17 18:12:24","alexander.fields-lefkovic",""
"2010-09-17 18:06:00","alexander.fields-lefkovic",""
"2010-09-17 17:54:40","alexander.fields-lefkovic",""
"2010-09-11 16:52:13","alexander.fields-lefkovic",""
"2010-09-11 15:03:24","",""
"2010-09-11 14:29:09","matt.g.marcus",""
"2010-09-11 11:36:03","DemoJara",""
"2010-09-11 10:48:54","matt.g.marcus",""
"2010-09-06 09:15:45","billbatterman",""
