Date (America/Los_Angeles),Author,Comment
"2013-08-12 17:14:33","chhsdebate",""
"2013-08-03 21:38:46","chhsdebate",""
"2013-08-03 21:33:16","chhsdebate",""
"2013-08-03 20:28:55","chhsdebate",""
"2013-07-16 18:25:00","chhsdebate",""
"2013-07-16 17:47:11","chhsdebate",""
"2013-07-16 17:46:10","chhsdebate",""
"2013-07-16 17:45:41","chhsdebate",""
"2013-07-16 17:44:40","chhsdebate",""
"2013-07-16 17:44:18","chhsdebate",""
"2013-07-16 17:44:02","chhsdebate",""
"2013-07-16 17:39:37","chhsdebate",""
"2013-07-16 17:38:45","chhsdebate",""
"2013-07-16 17:37:46","chhsdebate",""
"2013-07-16 17:15:59","chhsdebate",""
