Date (America/Los_Angeles),Author,Comment
"2012-03-19 16:24:49","MikeDemers1",""
"2012-03-19 16:24:35","MikeDemers1",""
"2012-03-19 16:24:22","MikeDemers1",""
"2012-03-19 16:24:01","MikeDemers1",""
"2012-03-19 16:18:24","MikeDemers1",""
"2012-03-14 13:19:36","MikeDemers1",""
"2012-03-13 17:02:43","MikeDemers1",""
"2012-03-12 13:04:46","MikeDemers1",""
"2012-03-12 13:04:12","MikeDemers1",""
"2011-11-04 21:47:37","MikeDemers1",""
"2011-11-04 21:43:37","MikeDemers1",""
"2011-11-04 21:42:55","MikeDemers1",""
"2011-11-04 21:31:24","MikeDemers1",""
