Date (America/Los_Angeles),Author,Comment
"2012-03-19 16:11:15","MikeDemers1",""
"2012-03-19 16:10:44","MikeDemers1",""
"2012-03-19 16:08:35","MikeDemers1",""
"2012-03-19 16:07:39","MikeDemers1",""
"2012-03-19 15:59:43","MikeDemers1",""
"2012-03-19 15:53:28","MikeDemers1",""
"2012-03-13 12:54:41","MikeDemers1",""
"2012-03-13 12:54:00","MikeDemers1",""
"2012-03-12 12:59:41","MikeDemers1",""
"2012-03-12 12:59:09","MikeDemers1",""
"2012-03-12 12:54:27","MikeDemers1",""
"2011-11-04 21:40:40","MikeDemers1",""
"2011-11-04 21:37:31","MikeDemers1",""
"2011-11-04 21:35:44","MikeDemers1",""
"2011-11-04 21:35:19","MikeDemers1",""
"2011-11-04 21:30:08","MikeDemers1",""
