Date (America/Los_Angeles),Author,Comment
"2012-03-25 09:47:53","MikeDemers1",""
"2012-03-21 20:11:24","MikeDemers1",""
"2012-03-21 20:11:07","MikeDemers1",""
"2012-03-21 20:08:52","LukeVanSeters",""
"2012-03-21 20:03:36","MikeDemers1",""
"2012-03-21 20:00:28","MikeDemers1",""
"2012-03-21 20:00:13","MikeDemers1",""
"2012-03-21 19:59:14","MikeDemers1",""
"2011-11-04 21:02:58","MikeDemers1",""
"2011-11-04 21:00:22","MikeDemers1",""
"2011-11-04 21:00:10","MikeDemers1",""
"2011-11-04 20:57:49","MikeDemers1",""
"2011-11-04 20:55:25","MikeDemers1",""
"2011-11-04 20:55:02","MikeDemers1",""
"2011-11-04 20:46:45","MikeDemers1",""
"2011-11-04 20:44:44","MikeDemers1",""
"2011-11-04 20:42:33","MikeDemers1",""
"2011-11-04 20:39:45","MikeDemers1",""
"2011-10-28 21:10:24","MikeDemers1",""
"2011-10-23 16:10:22","MikeDemers1",""
"2011-10-23 16:09:21","MikeDemers1",""
"2011-10-23 16:07:51","MikeDemers1",""
"2011-10-23 16:02:50","MikeDemers1",""
"2011-10-23 16:00:14","MikeDemers1",""
"2011-10-23 15:55:05","MikeDemers1",""
"2011-10-22 12:51:31","MikeDemers1",""
"2011-10-22 12:50:40","MikeDemers1",""
"2011-10-08 14:52:13","MikeDemers1",""
"2011-10-08 14:26:16","MikeDemers1",""
"2011-10-08 13:58:50","MikeDemers1",""
"2011-10-08 13:30:28","MikeDemers1",""
"2011-10-05 13:13:38","MikeDemers1",""
"2011-10-04 20:29:33","MikeDemers1",""
"2011-10-04 20:27:14","MikeDemers1",""
"2011-10-02 08:15:51","MikeDemers1",""
"2011-10-02 07:57:01","MikeDemers1",""
"2011-10-02 07:54:08","MikeDemers1",""
"2011-10-02 07:49:42","MikeDemers1",""
"2011-10-02 07:44:21","MikeDemers1",""
"2011-10-02 07:43:02","MikeDemers1",""
"2011-10-02 07:42:27","MikeDemers1",""
"2011-10-02 07:41:29","MikeDemers1",""
"2011-10-02 07:39:04","MikeDemers1",""
"2011-10-02 07:36:56","MikeDemers1",""
"2011-10-02 07:36:20","MikeDemers1",""
"2011-10-02 07:35:35","MikeDemers1",""
"2011-10-02 07:34:22","MikeDemers1",""
"2011-09-18 11:51:34","MikeDemers1",""
"2011-09-18 08:18:55","MikeDemers1",""
"2011-09-18 08:18:28","MikeDemers1",""
"2011-09-18 08:10:24","MikeDemers1",""
"2011-09-17 09:26:21","Bmill0912",""
"2011-09-17 09:18:07","Bmill0912",""
"2011-09-17 09:02:44","Bmill0912",""
"2011-09-17 09:02:11","Bmill0912",""
"2011-09-17 09:01:20","Bmill0912",""
"2011-09-17 09:00:25","Bmill0912",""
"2011-09-17 08:59:03","Bmill0912",""
"2011-09-12 12:01:07","MikeDemers1",""
