Date (America/Los_Angeles),Author,Comment
"2012-05-29 13:01:32","CharlesA_BxLaw",""
"2012-03-19 20:23:13","CharlesA_BxLaw",""
"2012-03-19 20:22:38","CharlesA_BxLaw",""
"2012-03-19 20:21:44","CharlesA_BxLaw",""
"2012-03-19 18:39:48","CharlesA_BxLaw",""
"2012-02-21 16:02:04","CharlesA_BxLaw",""
"2012-02-21 16:01:15","CharlesA_BxLaw",""
"2012-01-22 17:09:06","CharlesA_BxLaw",""
"2012-01-22 17:06:45","CharlesA_BxLaw",""
"2012-01-22 17:04:50","CharlesA_BxLaw",""
"2011-12-18 15:26:37","CharlesA_BxLaw",""
"2011-12-18 15:25:44","CharlesA_BxLaw",""
"2011-11-20 14:58:45","CharlesA_BxLaw",""
"2011-10-07 21:19:35","CharlesA_BxLaw",""
"2011-10-06 18:56:36","CharlesA_BxLaw",""
"2011-10-06 18:51:51","CharlesA_BxLaw",""
"2011-10-06 18:21:04","CharlesA_BxLaw",""
"2011-10-06 16:55:38","CharlesA_BxLaw",""
"2011-10-01 18:54:52","CharlesA_BxLaw",""
"2011-10-01 18:52:37","CharlesA_BxLaw",""
"2011-09-26 20:04:16","CharlesA_BxLaw",""
"2011-09-26 18:02:04","CharlesA_BxLaw",""
"2011-09-26 17:50:00","CharlesA_BxLaw",""
"2011-09-10 14:19:09","CharlesA_BxLaw",""
"2011-09-04 11:58:17","CharlesA_BxLaw",""
"2011-09-04 11:56:22","CharlesA_BxLaw",""
"2011-09-04 11:53:33","CharlesA_BxLaw",""
"2011-09-04 11:52:15","CharlesA_BxLaw",""
"2011-09-03 18:38:38","CharlesA_BxLaw",""
