Date (America/Los_Angeles),Author,Comment
"2012-03-15 16:10:09","ShenLucy",""
"2012-01-19 12:21:04","ShenLucy",""
"2012-01-19 12:14:12","ShenLucy",""
"2011-12-29 17:01:31","DaleLi",""
"2011-12-29 16:59:19","ShenLucy",""
"2011-12-29 16:58:44","ShenLucy",""
"2011-12-04 18:17:50","DaleLi",""
"2011-12-04 18:15:30","DaleLi",""
"2011-12-04 18:11:32","DaleLi",""
"2011-12-04 18:03:11","DaleLi",""
"2011-12-04 17:55:31","DaleLi",""
"2011-12-04 17:54:49","DaleLi",""
"2011-11-30 13:01:31","ShenLucy",""
"2011-11-30 13:00:49","ShenLucy",""
"2011-11-29 14:16:56","ShenLucy",""
"2011-11-26 18:25:19","DaleLi",""
"2011-11-26 18:22:44","DaleLi",""
"2011-11-26 18:14:47","ShenLucy",""
"2011-11-26 18:12:58","DaleLi",""
"2011-11-26 18:10:53","ShenLucy",""
"2011-11-26 18:09:25","ShenLucy",""
"2011-11-26 18:09:23","ShenLucy",""
"2011-11-26 11:01:57","ShenLucy",""
"2011-11-26 11:01:34","ShenLucy",""
"2011-11-26 11:01:03","ShenLucy",""
"2011-11-26 10:49:48","ShenLucy",""
"2011-11-26 09:28:34","ShenLucy",""
"2011-11-26 09:24:04","ShenLucy",""
"2011-11-26 09:24:01","ShenLucy",""
"2011-11-26 09:18:35","ShenLucy",""
"2011-11-26 09:18:09","ShenLucy",""
"2011-11-26 09:15:55","ShenLucy",""
"2011-11-26 09:15:46","ShenLucy",""
"2011-11-26 09:15:30","ShenLucy",""
"2011-11-26 09:07:56","ShenLucy",""
"2011-11-26 09:07:27","ShenLucy",""
"2011-11-26 09:06:49","ShenLucy",""
"2011-11-26 09:03:53","ShenLucy",""
"2011-11-26 08:54:29","ShenLucy",""
"2011-11-26 08:54:11","ShenLucy",""
"2011-11-26 08:53:38","ShenLucy",""
"2011-11-26 08:52:03","ShenLucy",""
"2011-11-26 08:43:16","ShenLucy",""
"2011-11-25 18:08:04","DaleLi",""
"2011-11-25 18:05:45","DaleLi",""
"2011-11-25 17:27:30","ShenLucy",""
"2011-11-25 11:15:48","ShenLucy",""
"2011-11-25 11:11:33","ShenLucy",""
"2011-11-25 11:05:09","ShenLucy",""
"2011-11-25 10:44:32","ShenLucy",""
"2011-11-25 10:42:56","ShenLucy",""
