Date (America/Los_Angeles),Author,Comment
"2012-03-02 05:19:13","bonniegerard",""
"2012-03-01 21:50:55","oliviapribich",""
"2012-03-01 21:49:54","oliviapribich",""
"2012-03-01 21:49:04","oliviapribich",""
"2012-03-01 21:46:21","oliviapribich",""
"2012-01-06 08:24:30","oliviapribich",""
"2012-01-06 08:21:41","oliviapribich",""
"2012-01-05 19:16:01","oliviapribich",""
"2012-01-05 13:26:54","bonniegerard",""
"2012-01-05 13:25:52","bonniegerard",""
"2012-01-05 13:18:42","bonniegerard",""
"2011-11-29 14:32:18","bonniegerard",""
