Date (America/Los_Angeles),Author,Comment
"2013-08-17 17:57:29","chhsdebate",""
"2013-08-12 17:15:25","chhsdebate",""
"2013-08-04 17:18:57","chhsdebate",""
"2013-08-03 21:29:51","chhsdebate",""
"2013-08-03 21:16:04","chhsdebate",""
"2013-08-03 21:10:44","chhsdebate",""
"2013-08-03 20:29:20","chhsdebate",""
"2013-07-16 18:25:22","chhsdebate",""
"2013-07-16 18:22:05","chhsdebate",""
"2013-07-16 18:21:22","chhsdebate",""
"2013-07-16 18:21:02","chhsdebate",""
"2013-07-16 18:20:48","chhsdebate",""
"2013-07-16 18:19:56","chhsdebate",""
