Date (America/Los_Angeles),Author,Comment
"2012-02-27 19:35:18","rgalerstein93",""
"2012-02-16 08:08:55","hayley.hopkins",""
"2012-02-10 20:42:34","hayley.hopkins",""
"2012-01-30 19:36:28","hayley.hopkins",""
"2012-01-30 18:43:41","rgalerstein93",""
"2012-01-30 11:45:48","rgalerstein93",""
"2012-01-26 06:14:58","hayley.hopkins",""
"2012-01-20 17:54:45","rgalerstein93",""
"2012-01-08 09:40:31","hayley.hopkins",""
"2012-01-08 09:38:14","hayley.hopkins",""
"2011-12-12 10:04:51","rgalerstein93",""
"2011-12-11 21:02:20","rgalerstein93",""
"2011-12-11 18:35:30","rgalerstein93",""
"2011-11-29 16:04:15","rgalerstein93",""
"2011-11-28 19:16:12","rgalerstein93",""
"2011-11-28 18:59:56","hayley.hopkins",""
"2011-11-25 14:13:25","rgalerstein93",""
"2011-11-19 16:45:16","hayley.hopkins",""
"2011-11-19 08:03:28","hayley.hopkins",""
"2011-11-10 15:46:42","hayley.hopkins",""
"2011-10-15 20:19:43","rgalerstein93",""
"2011-10-15 20:17:49","rgalerstein93",""
"2011-10-15 15:47:55","hayley.hopkins",""
"2011-10-12 17:58:51","hayley.hopkins",""
"2011-09-13 19:36:41","hayley.hopkins",""
"2011-09-13 19:35:39","rgalerstein93",""
"2011-09-13 19:26:16","hayley.hopkins",""
"2011-09-13 16:19:19","rgalerstein93",""
"2011-09-13 10:52:34","rgalerstein93",""
"2011-09-13 10:48:07","rgalerstein93",""
"2011-09-12 18:15:12","rgalerstein93",""
"2011-09-12 18:11:15","rgalerstein93",""
"2011-09-12 17:56:03","rgalerstein93",""
"2011-09-12 16:49:23","rgalerstein93",""
"2011-09-09 20:32:16","rgalerstein93",""
"2011-09-09 20:29:52","rgalerstein93",""
"2011-09-09 20:26:51","rgalerstein93",""
