Date (America/Los_Angeles),Author,Comment
"2012-02-20 07:40:02","harker1",""
"2012-01-31 11:38:35","harker1",""
"2012-01-31 09:08:07","harker1",""
"2012-01-31 09:07:37","harker1",""
"2012-01-31 09:06:39","harker1",""
"2012-01-31 09:02:09","harker1",""
"2012-01-31 09:01:44","harker1",""
"2012-01-31 09:00:47","harker1",""
"2012-01-28 21:14:40","harker1",""
"2012-01-28 03:53:26","harker1",""
"2012-01-25 09:38:36","harker1",""
"2012-01-22 21:00:35","harker1",""
"2012-01-22 13:24:12","harker1",""
"2012-01-03 09:28:18","harker1",""
"2012-01-03 09:27:06","harker1",""
"2011-12-02 11:45:50","harker1",""
"2011-12-02 11:41:45","harker1",""
"2011-12-02 11:37:41","harker1",""
"2011-09-04 01:50:52","harker1",""
