Date (America/Los_Angeles),Author,Comment
"2012-04-17 00:07:17","MargaretStrong",""
"2012-04-14 14:50:08","DonnieGrasse",""
"2012-03-21 20:09:39","MargaretStrong",""
"2012-03-21 20:06:35","MargaretStrong",""
"2012-03-06 09:33:50","DonnieGrasse",""
"2012-03-05 10:08:32","DonnieGrasse",""
"2012-02-26 16:43:57","MargaretStrong",""
"2012-02-23 13:01:52","DonnieGrasse",""
"2012-02-23 13:01:47","DonnieGrasse",""
"2012-02-23 12:58:07","DonnieGrasse",""
"2012-02-21 23:38:28","DonnieGrasse",""
"2012-02-21 23:27:06","DonnieGrasse",""
"2012-02-21 23:19:18","DonnieGrasse",""
"2012-02-21 11:11:07","MargaretStrong",""
"2012-02-21 10:00:39","MargaretStrong",""
"2012-02-21 09:26:45","MargaretStrong",""
"2012-02-18 14:48:11","DonnieGrasse",""
"2012-02-12 10:08:52","MargaretStrong",""
"2012-01-26 10:32:00","DonnieGrasse",""
"2011-12-26 15:18:48","DonnieGrasse",""
"2011-12-26 11:34:43","MargaretStrong",""
"2011-12-26 11:31:52","DonnieGrasse",""
"2011-12-26 11:21:51","MargaretStrong",""
"2011-12-26 11:12:02","DonnieGrasse",""
"2011-12-26 11:05:43","DonnieGrasse",""
"2011-12-26 10:59:01","DonnieGrasse",""
"2011-12-26 10:55:49","DonnieGrasse",""
"2011-12-26 10:51:23","DonnieGrasse",""
"2011-12-20 05:39:36","MargaretStrong",""
"2011-12-19 19:58:27","MargaretStrong",""
"2011-12-19 19:35:49","DonnieGrasse",""
"2011-12-04 16:02:16","MargaretStrong",""
"2011-12-04 16:00:47","MargaretStrong",""
"2011-11-25 11:15:01","DonnieGrasse",""
"2011-11-25 10:31:08","DonnieGrasse",""
"2011-11-25 10:25:31","DonnieGrasse",""
"2011-11-25 10:23:12","DonnieGrasse",""
"2011-11-25 10:13:24","DonnieGrasse",""
"2011-11-25 10:09:43","DonnieGrasse",""
"2011-11-20 11:32:36","DonnieGrasse",""
"2011-11-16 21:05:00","MargaretStrong",""
"2011-11-16 21:01:31","MargaretStrong",""
"2011-11-12 22:32:51","DonnieGrasse",""
"2011-11-11 22:11:48","DonnieGrasse",""
"2011-11-11 11:05:57","DonnieGrasse",""
"2011-11-11 11:03:39","DonnieGrasse",""
"2011-11-11 10:59:59","DonnieGrasse",""
"2011-11-11 10:46:52","DonnieGrasse",""
"2011-11-09 19:35:33","DonnieGrasse",""
"2011-11-08 17:49:30","DonnieGrasse",""
"2011-11-08 17:44:05","DonnieGrasse",""
"2011-11-05 07:10:42","DonnieGrasse",""
"2011-11-05 06:44:34","DonnieGrasse",""
"2011-11-04 17:06:46","DonnieGrasse",""
"2011-11-04 17:05:30","DonnieGrasse",""
"2011-11-04 16:58:50","DonnieGrasse",""
"2011-11-03 14:32:40","DonnieGrasse",""
"2011-11-02 12:38:45","sZizek",""
"2011-11-01 12:57:47","sZizek",""
"2011-11-01 12:56:59","sZizek",""
"2011-11-01 12:54:30","sZizek",""
"2011-10-26 18:18:24","MargaretStrong",""
"2011-10-18 19:29:42","DonnieGrasse",""
"2011-10-18 19:04:55","DonnieGrasse",""
"2011-10-17 10:46:11","MargaretStrong",""
"2011-10-17 10:43:14","MargaretStrong",""
"2011-10-17 10:42:20","MargaretStrong",""
"2011-10-16 15:47:48","DonnieGrasse",""
"2011-10-16 09:35:56","DonnieGrasse",""
"2011-10-15 18:05:36","DonnieGrasse",""
"2011-10-15 18:04:47","DonnieGrasse",""
"2011-10-15 12:33:55","DonnieGrasse",""
"2011-10-15 09:12:36","DonnieGrasse",""
"2011-10-14 08:21:09","DonnieGrasse",""
"2011-10-14 08:18:03","DonnieGrasse",""
"2011-10-12 22:46:02","MargaretStrong",""
"2011-10-12 22:43:25","MargaretStrong",""
"2011-10-12 22:33:01","MargaretStrong",""
"2011-10-12 22:29:13","MargaretStrong",""
"2011-10-04 19:35:33","DonnieGrasse",""
"2011-10-04 08:49:50","DonnieGrasse",""
"2011-10-04 08:39:37","DonnieGrasse",""
"2011-10-04 08:30:36","DonnieGrasse",""
"2011-09-26 13:50:13","billbatterman",""
"2011-09-24 13:17:55","DonnieGrasse",""
"2011-09-20 19:32:01","DonnieGrasse",""
"2011-09-19 06:39:13","DonnieGrasse",""
"2011-09-19 06:37:09","DonnieGrasse",""
"2011-09-18 16:15:58","DonnieGrasse",""
"2011-09-18 09:51:13","DonnieGrasse",""
"2011-09-18 08:16:24","DonnieGrasse",""
"2011-09-18 08:15:04","DonnieGrasse",""
"2011-09-18 08:09:49","DonnieGrasse",""
"2011-09-18 08:06:45","DonnieGrasse",""
"2011-09-17 19:33:45","DonnieGrasse",""
"2011-09-16 15:43:25","DonnieGrasse",""
"2011-09-16 15:38:10","DonnieGrasse",""
"2011-09-16 15:36:32","DonnieGrasse",""
"2011-09-16 15:30:25","DonnieGrasse",""
"2011-09-16 09:36:02","DonnieGrasse",""
"2011-09-15 15:26:00","DonnieGrasse",""
"2011-09-15 13:12:08","MargaretStrong",""
"2011-09-15 13:10:32","MargaretStrong",""
"2011-09-15 12:38:36","DonnieGrasse",""
"2011-09-15 09:08:46","DonnieGrasse",""
"2011-09-09 16:09:05","MargaretStrong",""
"2011-09-09 16:08:17","MargaretStrong",""
"2011-09-02 07:16:19","billbatterman",""
