Date (America/Los_Angeles),Author,Comment
"2012-08-20 18:56:09","mrspeak",""
"2012-07-14 07:34:31","mrspeak",""
"2012-06-16 20:56:05","mrspeak",""
"2012-06-15 11:41:49","mrspeak",""
"2012-06-14 19:05:12","mrspeak",""
"2012-06-14 19:04:04","mrspeak",""
"2012-06-14 18:57:35","mrspeak",""
"2012-06-03 16:31:40","mrspeak",""
"2012-06-03 16:29:41","mrspeak",""
"2012-06-03 16:28:51","mrspeak",""
"2012-05-16 20:22:56","mrspeak",""
"2012-05-16 09:10:15","mrspeak",""
"2012-05-11 20:52:38","mrspeak",""
"2012-05-11 20:52:17","mrspeak",""
"2012-05-08 14:49:43","mrspeak",""
"2012-05-08 14:48:34","mrspeak",""
"2012-05-07 16:21:56","mrspeak",""
"2012-05-07 16:21:14","mrspeak",""
"2012-05-06 18:03:38","mrspeak",""
"2012-05-06 17:50:31","mrspeak",""
"2012-05-06 17:48:41","mrspeak",""
"2012-05-06 17:39:26","mrspeak",""
"2012-05-06 17:38:18","mrspeak",""
"2012-05-06 17:36:58","mrspeak",""
"2012-05-06 17:04:49","mrspeak",""
"2012-05-06 15:51:29","mrspeak",""
"2012-05-06 15:44:18","mrspeak",""
"2012-05-06 15:43:42","mrspeak",""
"2012-05-06 15:28:47","mrspeak",""
"2012-05-06 15:13:14","mrspeak",""
"2012-05-06 15:11:14","mrspeak",""
"2012-05-06 15:07:41","mrspeak",""
"2012-05-06 15:00:21","mrspeak",""
"2012-05-06 14:58:21","mrspeak",""
"2012-05-06 14:34:19","mrspeak",""
"2012-05-06 14:32:49","mrspeak",""
"2012-05-06 14:24:17","mrspeak",""
