Date (America/Los_Angeles),Author,Comment
"2012-03-26 16:52:03","ClydeShepherd",""
"2012-03-25 18:27:25","ClydeShepherd",""
"2012-03-25 18:26:21","ClydeShepherd",""
"2012-03-25 14:40:14","ClydeShepherd",""
"2012-03-25 11:40:40","ClydeShepherd",""
"2012-03-25 11:31:19","ClydeShepherd",""
"2012-03-24 17:52:31","ClydeShepherd",""
"2012-03-24 13:01:23","ClydeShepherd",""
"2012-03-24 11:31:55","ClydeShepherd",""
"2012-02-28 16:57:52","ClydeShepherd",""
"2012-02-21 17:25:49","ClydeShepherd",""
"2012-02-21 16:56:36","ClydeShepherd",""
"2012-02-21 04:14:54","ClydeShepherd",""
"2012-02-20 14:05:22","ClydeShepherd",""
"2012-02-20 13:35:07","ClydeShepherd",""
"2012-02-20 10:24:32","ClydeShepherd",""
"2012-02-19 14:27:18","ClydeShepherd",""
"2012-02-18 18:44:31","ClydeShepherd",""
"2012-02-18 18:42:59","ClydeShepherd",""
"2012-02-18 16:25:24","ClydeShepherd",""
"2012-02-18 16:23:15","ClydeShepherd",""
"2012-02-11 18:48:36","ClydeShepherd",""
"2012-02-11 15:24:27","ClydeShepherd",""
"2012-02-11 15:18:57","ClydeShepherd",""
"2012-02-11 15:15:40","ClydeShepherd",""
"2012-02-04 20:01:33","ClydeShepherd",""
"2012-02-04 19:49:21","ClydeShepherd",""
"2012-02-04 15:39:15","ClydeShepherd",""
"2012-02-04 13:14:44","ClydeShepherd",""
"2012-02-04 13:13:48","ClydeShepherd",""
"2012-02-04 09:32:06","ClydeShepherd",""
"2012-02-04 09:26:00","ClydeShepherd",""
"2012-02-03 20:10:37","ClydeShepherd",""
"2012-02-03 18:19:59","ClydeShepherd",""
"2012-02-03 18:15:10","ClydeShepherd",""
"2012-02-03 18:06:06","ClydeShepherd",""
"2012-01-25 17:20:19","ClydeShepherd",""
"2012-01-18 11:10:11","TannerLewis",""
"2012-01-15 20:19:14","ClydeShepherd",""
"2012-01-15 20:14:59","ClydeShepherd",""
"2012-01-15 20:11:23","ClydeShepherd",""
"2012-01-15 20:05:00","ClydeShepherd",""
"2012-01-15 19:42:02","ClydeShepherd",""
"2012-01-15 19:41:34","ClydeShepherd",""
"2012-01-14 20:09:21","ClydeShepherd",""
"2012-01-14 20:08:42","ClydeShepherd",""
"2012-01-14 19:55:05","ClydeShepherd",""
"2012-01-14 19:54:17","ClydeShepherd",""
"2012-01-14 19:49:45","ClydeShepherd",""
"2012-01-14 19:34:05","ClydeShepherd",""
"2011-12-22 08:28:28","ClydeShepherd",""
"2011-12-13 05:15:29","ClydeShepherd",""
"2011-12-13 05:14:45","ClydeShepherd",""
"2011-12-13 05:08:33","ClydeShepherd",""
"2011-12-07 18:41:43","ClydeShepherd",""
"2011-12-07 18:39:53","ClydeShepherd",""
"2011-11-26 21:12:23","ClydeShepherd",""
"2011-11-21 19:08:43","ClydeShepherd",""
"2011-11-21 18:28:09","ClydeShepherd",""
"2011-11-20 14:39:55","ClydeShepherd",""
"2011-11-20 11:48:16","ClydeShepherd",""
"2011-11-20 11:47:12","ClydeShepherd",""
"2011-11-20 08:14:39","ClydeShepherd",""
"2011-11-20 07:43:35","ClydeShepherd",""
"2011-11-19 10:36:30","ClydeShepherd",""
"2011-11-19 10:34:02","ClydeShepherd",""
"2011-11-19 10:09:48","ClydeShepherd",""
"2011-11-19 07:45:36","ClydeShepherd",""
"2011-11-19 07:45:15","ClydeShepherd",""
"2011-11-19 07:36:06","ClydeShepherd",""
"2011-11-07 13:33:38","ClydeShepherd",""
"2011-11-06 19:47:43","ClydeShepherd",""
"2011-11-05 19:10:27","ClydeShepherd",""
"2011-11-05 18:57:48","ClydeShepherd",""
"2011-11-05 14:06:23","ClydeShepherd",""
"2011-11-05 12:22:48","ClydeShepherd",""
"2011-11-05 12:22:20","ClydeShepherd",""
"2011-11-05 09:56:00","ClydeShepherd",""
"2011-11-05 07:02:04","ClydeShepherd",""
"2011-11-05 06:57:47","ClydeShepherd",""
"2011-11-05 06:57:26","ClydeShepherd",""
"2011-10-25 18:30:41","ClydeShepherd",""
"2011-10-23 10:00:53","ClydeShepherd",""
"2011-10-22 20:56:06","ClydeShepherd",""
"2011-10-22 20:55:24","ClydeShepherd",""
"2011-10-22 20:07:30","ClydeShepherd",""
"2011-10-22 20:03:50","ClydeShepherd",""
"2011-10-22 20:03:16","ClydeShepherd",""
"2011-10-21 20:21:39","ClydeShepherd",""
"2011-10-19 16:05:29","ClydeShepherd",""
"2011-10-13 18:47:44","ClydeShepherd",""
"2011-10-13 18:46:56","ClydeShepherd",""
"2011-10-13 18:44:37","ClydeShepherd",""
"2011-10-12 17:17:50","ClydeShepherd",""
"2011-10-12 17:13:17","ClydeShepherd",""
"2011-10-12 15:07:48","ClydeShepherd",""
