Date (America/Los_Angeles),Author,Comment
"2012-02-27 16:51:42","alexander.fields-lefkovic",""
"2012-02-23 07:39:46","alexander.fields-lefkovic",""
"2012-02-23 07:30:29","alexander.fields-lefkovic",""
"2012-02-23 07:23:22","alexander.fields-lefkovic",""
"2012-02-23 07:21:28","alexander.fields-lefkovic",""
"2012-02-19 17:39:27","alexander.fields-lefkovic",""
"2012-02-17 12:08:13","mccuedebate",""
"2012-02-17 12:07:47","mccuedebate",""
"2012-02-17 12:05:10","mccuedebate",""
"2012-01-31 16:48:15","alexander.fields-lefkovic",""
"2012-01-28 19:30:28","alexander.fields-lefkovic",""
"2012-01-28 19:20:11","alexander.fields-lefkovic",""
"2012-01-28 19:18:11","alexander.fields-lefkovic",""
"2012-01-28 19:17:36","alexander.fields-lefkovic",""
"2012-01-28 19:10:08","alexander.fields-lefkovic",""
"2012-01-28 19:09:33","alexander.fields-lefkovic",""
"2012-01-28 19:08:44","alexander.fields-lefkovic",""
"2012-01-28 18:57:22","alexander.fields-lefkovic",""
"2012-01-28 18:54:42","alexander.fields-lefkovic",""
"2012-01-28 18:43:53","alexander.fields-lefkovic",""
"2011-12-24 12:16:32","alexander.fields-lefkovic",""
"2011-12-24 12:14:06","alexander.fields-lefkovic",""
"2011-12-23 08:34:43","alexander.fields-lefkovic",""
"2011-12-23 08:31:01","alexander.fields-lefkovic",""
"2011-12-23 08:28:44","alexander.fields-lefkovic",""
"2011-12-23 08:24:33","alexander.fields-lefkovic",""
"2011-12-23 08:19:03","alexander.fields-lefkovic",""
"2011-12-23 08:16:56","alexander.fields-lefkovic",""
"2011-12-23 08:12:11","alexander.fields-lefkovic",""
"2011-12-23 08:08:23","alexander.fields-lefkovic",""
"2011-12-04 14:54:27","alexander.fields-lefkovic",""
"2011-12-04 12:38:25","alexander.fields-lefkovic",""
"2011-12-04 12:35:34","alexander.fields-lefkovic",""
"2011-12-04 12:34:45","alexander.fields-lefkovic",""
"2011-12-02 23:03:14","alexander.fields-lefkovic",""
"2011-12-02 23:02:43","alexander.fields-lefkovic",""
"2011-12-02 22:54:46","alexander.fields-lefkovic",""
"2011-12-02 22:54:17","alexander.fields-lefkovic",""
"2011-11-25 14:31:02","alexander.fields-lefkovic",""
"2011-11-25 14:30:27","alexander.fields-lefkovic",""
"2011-11-24 16:35:41","alexander.fields-lefkovic",""
"2011-11-24 16:34:49","alexander.fields-lefkovic",""
"2011-11-24 16:33:29","alexander.fields-lefkovic",""
"2011-11-24 16:29:14","alexander.fields-lefkovic",""
"2011-11-24 16:28:05","alexander.fields-lefkovic",""
"2011-11-20 18:39:33","alexander.fields-lefkovic",""
"2011-11-20 18:37:33","alexander.fields-lefkovic",""
"2011-11-20 08:10:30","alexander.fields-lefkovic",""
"2011-11-20 08:10:24","alexander.fields-lefkovic",""
"2011-11-19 21:15:56","alexander.fields-lefkovic",""
"2011-11-19 21:13:08","alexander.fields-lefkovic",""
"2011-09-23 16:56:30","alexander.fields-lefkovic",""
"2011-09-18 08:54:14","mccuedebate",""
"2011-09-17 10:36:10","mccuedebate",""
"2011-09-17 08:23:55","alexander.fields-lefkovic",""
"2011-09-17 08:23:31","alexander.fields-lefkovic",""
"2011-09-17 08:23:05","alexander.fields-lefkovic",""
"2011-09-17 08:21:34","alexander.fields-lefkovic",""
"2011-09-17 08:18:54","alexander.fields-lefkovic",""
"2011-09-17 08:16:08","alexander.fields-lefkovic",""
"2011-09-17 08:14:06","alexander.fields-lefkovic",""
"2011-09-10 12:25:09","alexander.fields-lefkovic",""
"2011-09-09 19:25:36","alexander.fields-lefkovic",""
"2011-09-09 19:25:03","alexander.fields-lefkovic",""
"2011-09-09 19:24:53","alexander.fields-lefkovic",""
"2011-09-09 19:24:35","alexander.fields-lefkovic",""
"2011-09-09 19:24:00","alexander.fields-lefkovic",""
"2011-09-09 19:22:49","alexander.fields-lefkovic",""
