Date (America/Los_Angeles),Author,Comment
"2011-09-11 13:56:16","jasonjordan",""
"2011-09-11 13:55:45","jasonjordan","Reverted to Sep 11, 2011 3:48 pm: fixed, again"
"2011-09-11 13:54:38","jasonjordan",""
"2011-09-11 13:48:08","jasonjordan",""
"2011-09-11 13:41:16","jasonjordan",""
"2011-09-11 13:37:23","jasonjordan",""
"2011-09-11 13:28:36","jasonjordan",""
"2011-09-11 13:24:02","jasonjordan","Reverted to Sep 11, 2011 2:47 pm: fixed"
"2011-09-11 13:12:12","jasonjordan",""
"2011-09-11 12:47:32","jasonjordan",""
"2011-09-11 12:40:40","jasonjordan",""
"2011-09-07 11:42:26","jasonjordan",""
