Date (America/Los_Angeles),Author,Comment
"2011-12-06 13:33:56","andrew.lopez",""
"2011-10-12 16:34:04","andrew.lopez",""
"2011-10-05 17:29:16","andrew.lopez",""
"2011-10-03 13:42:06","andrew.lopez",""
"2011-10-03 13:40:52","andrew.lopez",""
"2011-10-03 13:39:22","andrew.lopez",""
"2011-10-03 13:38:18","andrew.lopez",""
"2011-10-03 13:37:42","andrew.lopez",""
"2011-10-03 13:14:59","andrew.lopez",""
"2011-10-03 13:13:12","andrew.lopez",""
"2011-10-03 12:58:13","andrew.lopez",""
"2011-10-03 12:57:43","andrew.lopez",""
"2011-09-29 10:41:38","andrew.lopez",""
"2011-09-29 10:41:13","andrew.lopez",""
"2011-09-29 10:18:20","andrew.lopez",""
