Date (America/Los_Angeles),Author,Comment
"2013-04-08 20:19:01","alexestrada1",""
"2013-03-30 10:05:31","alexestrada1",""
"2013-03-19 13:40:02","PedroSegura",""
"2013-03-10 17:15:52","alexestrada1",""
"2013-03-09 18:57:00","alexestrada1",""
"2013-02-18 12:43:58","alexestrada1",""
"2013-02-10 17:25:33","alexestrada1",""
"2013-01-23 20:30:59","alexestrada1",""
"2013-01-05 20:33:47","alexestrada1",""
"2013-01-05 17:09:22","alexestrada1",""
"2012-12-25 10:46:32","alexestrada1",""
"2012-12-24 11:56:51","alexestrada1",""
"2012-10-20 21:33:06","alexestrada1",""
"2012-10-20 21:20:41","alexestrada1",""
"2012-10-19 10:58:54","alexestrada1",""
"2012-10-08 15:15:51","alexestrada1",""
"2012-10-08 11:54:05","alexestrada1",""
"2012-09-23 13:55:57","alexestrada1",""
"2012-09-18 19:34:22","alexestrada1",""
"2012-09-16 10:37:27","alexestrada1",""
"2012-09-15 21:58:09","alexestrada1",""
"2012-09-08 20:23:15","alexestrada1",""
"2012-09-08 20:22:16","alexestrada1",""
"2012-09-08 20:05:25","alexestrada1",""
"2012-09-08 20:03:53","alexestrada1",""
"2012-09-08 20:02:51","alexestrada1",""
"2012-09-08 20:02:19","alexestrada1",""
"2012-09-08 19:57:15","alexestrada1",""
"2012-09-06 07:26:42","alexestrada1",""
"2012-09-06 07:17:29","alexestrada1",""
