Date (America/Los_Angeles),Author,Comment
"2012-10-04 20:39:27","kviveth",""
"2012-10-01 08:39:00","anastasia3241995",""
"2012-09-26 21:53:39","kviveth",""
"2012-09-26 11:53:28","kviveth",""
"2012-09-25 18:14:13","anastasia3241995",""
"2012-09-23 22:04:32","nick.fiori",""
"2012-09-20 19:49:10","anastasia3241995",""
"2012-09-19 09:00:08","HoochKA",""
"2012-09-14 21:48:11","kviveth",""
"2012-09-14 20:58:44","kviveth",""
"2012-09-14 17:37:03","anastasia3241995",""
"2012-09-14 16:51:40","kviveth",""
"2012-09-14 16:47:05","kviveth",""
"2012-09-14 16:46:57","kviveth",""
"2012-09-14 16:41:22","kviveth",""
"2012-09-14 16:36:19","kviveth",""
"2012-09-14 16:34:46","kviveth",""
