Date (America/Los_Angeles),Author,Comment
"2012-11-09 20:10:46","daehyun.kim",""
"2012-11-09 13:43:31","simonpark101",""
"2012-11-09 13:38:33","simonpark101",""
"2012-11-09 13:34:44","simonpark101",""
"2012-11-09 13:24:33","simonpark101",""
"2012-11-08 20:04:52","simonpark101",""
"2012-11-08 20:04:03","simonpark101",""
"2012-11-08 20:02:39","simonpark101",""
"2012-11-08 20:01:58","simonpark101",""
"2012-11-08 19:16:43","simonpark101",""
"2012-11-08 17:28:25","simonpark101",""
"2012-11-08 14:21:04","simonpark101",""
"2012-11-08 12:09:46","simonpark101",""
"2012-11-06 12:47:24","simonpark101",""
"2012-11-06 09:22:46","simonpark101",""
"2012-11-05 15:27:04","simonpark101",""
"2012-11-05 15:25:49","simonpark101",""
"2012-11-05 15:23:54","simonpark101",""
"2012-11-05 10:03:01","simonpark101",""
"2012-11-04 13:31:06","simonpark101",""
"2012-11-03 23:18:34","simonpark101",""
"2012-11-03 22:31:04","simonpark101",""
"2012-11-03 22:23:11","simonpark101",""
"2012-11-03 22:21:02","simonpark101",""
"2012-11-03 22:19:21","simonpark101",""
"2012-10-28 17:30:05","simonpark101",""
"2012-10-28 13:20:13","simonpark101",""
"2012-10-28 13:19:30","simonpark101",""
"2012-10-28 13:19:04","simonpark101",""
"2012-10-28 10:16:51","simonpark101",""
"2012-10-28 09:37:00","simonpark101",""
"2012-10-27 20:04:05","simonpark101",""
"2012-10-27 20:03:31","simonpark101",""
"2012-10-27 19:59:31","simonpark101",""
"2012-10-27 19:56:35","simonpark101",""
"2012-10-27 19:55:50","simonpark101",""
"2012-10-27 19:48:32","simonpark101",""
"2012-10-24 12:01:20","simonpark101",""
"2012-10-24 12:00:55","simonpark101",""
"2012-10-21 20:47:11","simonpark101",""
"2012-10-21 20:46:33","simonpark101",""
"2012-10-21 20:44:46","simonpark101",""
"2012-10-21 20:42:34","simonpark101",""
"2012-10-11 16:10:50","simonpark101",""
"2012-10-10 13:51:53","simonpark101",""
"2012-10-08 16:41:37","simonpark101",""
"2012-10-08 16:39:32","simonpark101",""
"2012-10-08 16:38:42","simonpark101",""
"2012-10-06 17:23:22","simonpark101",""
"2012-10-06 17:22:12","simonpark101",""
"2012-10-06 17:21:29","simonpark101",""
"2012-10-04 16:33:49","simonpark101",""
"2012-10-01 19:11:57","simonpark101",""
"2012-10-01 16:52:46","simonpark101",""
"2012-09-30 15:53:28","simonpark101",""
"2012-09-30 15:50:35","simonpark101",""
"2012-09-30 14:16:44","simonpark101",""
"2012-09-30 14:15:35","simonpark101",""
"2012-09-29 19:09:56","simonpark101",""
"2012-09-29 19:07:26","simonpark101",""
"2012-09-29 18:58:35","simonpark101",""
"2012-09-29 18:55:48","simonpark101",""
"2012-09-24 12:04:40","simonpark101",""
"2012-09-23 21:13:43","simonpark101",""
"2012-09-20 16:27:50","simonpark101",""
"2012-09-16 20:48:31","simonpark101",""
"2012-09-16 15:16:39","simonpark101",""
"2012-09-16 15:16:18","simonpark101",""
"2012-09-13 03:35:38","simonpark101",""
"2012-09-12 17:53:01","simonpark101",""
"2012-09-12 17:51:30","simonpark101",""
"2012-09-12 17:50:46","simonpark101",""
"2012-09-12 12:22:33","simonpark101",""
"2012-09-09 11:40:22","simonpark101",""
"2012-09-09 11:31:43","simonpark101",""
"2012-09-09 11:31:18","simonpark101",""
"2012-09-09 11:23:51","simonpark101",""
"2012-09-09 04:56:58","simonpark101",""
"2012-09-09 04:54:02","simonpark101","Reverted to Sep 9, 2012 12:16 am: nyeah"
"2012-09-09 04:53:26","simonpark101",""
"2012-09-09 04:43:23","simonpark101",""
"2012-09-08 21:16:32","simonpark101",""
"2012-09-08 21:15:41","simonpark101",""
"2012-09-08 21:15:19","simonpark101",""
