Date (America/Los_Angeles),Author,Comment
"2012-10-20 20:45:43","chhsdebate",""
"2012-10-20 11:20:38","chhsdebate",""
"2012-10-19 14:13:51","chhsdebate",""
"2012-10-19 14:13:22","chhsdebate",""
"2012-10-01 13:28:18","chhsdebate",""
"2012-09-23 14:36:14","chhsdebate",""
"2012-09-22 15:41:55","chhsdebate",""
"2012-09-22 15:41:04","chhsdebate",""
"2012-09-22 10:31:16","chhsdebate",""
"2012-09-22 10:30:11","chhsdebate",""
"2012-09-17 13:48:57","chhsdebate",""
"2012-09-17 13:41:16","chhsdebate",""
"2012-09-17 13:40:58","chhsdebate",""
"2012-09-17 13:40:42","chhsdebate",""
"2012-09-17 13:32:50","chhsdebate",""
"2012-09-17 13:32:09","chhsdebate",""
"2012-09-17 13:31:40","chhsdebate",""
