Date (America/Los_Angeles),Author,Comment
"2013-04-19 19:41:17","ChristianLansang",""
"2013-04-19 19:40:57","ChristianLansang",""
"2013-04-19 19:40:05","ChristianLansang",""
"2013-04-19 19:38:29","ChristianLansang",""
"2013-04-19 19:37:47","ChristianLansang",""
"2013-04-19 19:34:01","ChristianLansang",""
"2013-04-19 19:26:39","ChristianLansang",""
"2013-04-19 19:20:56","ChristianLansang",""
"2012-10-21 20:56:30","ChristianLansang",""
"2012-10-21 20:48:23","ChristianLansang",""
"2012-10-21 20:46:59","ChristianLansang",""
"2012-10-21 20:46:35","ChristianLansang",""
"2012-10-21 20:46:01","ChristianLansang",""
"2012-10-21 20:45:58","ChristianLansang",""
"2012-10-21 20:45:43","ChristianLansang",""
