Date (America/Los_Angeles),Author,Comment
"2012-12-11 07:20:01","dchao207",""
"2012-12-01 07:39:12","dchao207",""
"2012-12-01 07:38:59","dchao207",""
"2012-10-27 22:10:09","dchao207",""
"2012-10-26 22:23:21","dchao207",""
"2012-10-26 16:29:30","dchao207",""
"2012-10-26 16:25:57","dchao207",""
"2012-10-26 15:45:33","dchao207",""
"2012-10-26 15:45:26","dchao207",""
"2012-10-26 15:36:06","dchao207",""
"2012-10-16 19:17:43","dchao207",""
"2012-10-14 22:56:03","dchao207",""
"2012-10-14 22:55:12","dchao207",""
"2012-10-04 14:56:01","dchao207",""
"2012-10-01 12:16:49","dchao207",""
"2012-09-29 13:23:02","dchao207",""
"2012-09-29 13:10:46","dchao207",""
"2012-09-29 11:52:17","dchao207",""
"2012-09-29 11:51:10","dchao207",""
"2012-09-29 11:50:25","dchao207",""
"2012-09-29 11:32:16","dchao207",""
"2012-09-29 11:18:12","dchao207",""
"2012-09-29 10:00:00","dchao207",""
"2012-09-29 09:58:52","dchao207",""
"2012-09-29 09:46:26","dchao207",""
"2012-09-06 06:44:35","dchao207",""
"2012-09-06 06:38:07","dchao207",""
"2012-09-05 22:01:17","dchao207",""
"2012-09-05 11:53:47","dchao207",""
