Date (America/Los_Angeles),Author,Comment
"2013-03-03 12:26:45","grovesdebate",""
"2013-03-03 12:25:19","grovesdebate",""
"2013-02-11 13:19:39","grovesdebate",""
"2013-02-11 13:15:52","grovesdebate",""
"2013-02-11 13:13:46","grovesdebate",""
"2013-02-11 13:12:11","grovesdebate",""
"2013-01-26 14:44:06","grovesdebate",""
"2013-01-23 13:38:01","grovesdebate",""
"2013-01-20 10:06:07","grovesdebate",""
"2013-01-20 06:52:41","grovesdebate",""
"2013-01-20 06:50:43","grovesdebate",""
"2013-01-20 06:49:18","grovesdebate",""
"2013-01-20 06:48:48","grovesdebate",""
"2013-01-20 06:47:12","grovesdebate",""
"2013-01-20 06:46:49","grovesdebate",""
"2013-01-20 06:45:21","grovesdebate",""
"2013-01-20 06:40:41","grovesdebate",""
"2013-01-09 13:23:45","grovesdebate",""
"2013-01-09 12:33:25","grovesdebate",""
"2013-01-07 18:58:03","grovesdebate",""
"2013-01-07 18:57:12","grovesdebate",""
"2013-01-07 18:46:39","grovesdebate",""
"2013-01-07 18:38:27","grovesdebate",""
"2013-01-05 17:56:13","grovesdebate",""
"2013-01-05 17:54:29","grovesdebate",""
"2013-01-05 12:48:33","grovesdebate",""
"2013-01-05 11:12:37","grovesdebate",""
"2013-01-05 09:11:17","grovesdebate",""
"2013-01-05 09:05:19","grovesdebate",""
"2013-01-05 08:58:57","grovesdebate",""
"2012-12-17 12:31:24","grovesdebate",""
"2012-12-17 12:30:43","grovesdebate",""
"2012-12-17 12:29:09","grovesdebate",""
"2012-12-17 12:27:25","grovesdebate",""
"2012-12-17 12:18:42","grovesdebate",""
"2012-12-17 12:17:50","grovesdebate",""
"2012-12-17 12:17:43","grovesdebate",""
"2012-12-16 20:47:57","grovesdebate",""
"2012-12-16 20:37:14","grovesdebate",""
"2012-12-16 20:35:10","grovesdebate",""
"2012-11-06 19:59:16","grovesdebate",""
"2012-11-06 12:15:41","grovesdebate",""
"2012-11-05 17:34:06","grovesdebate",""
"2012-11-05 17:27:37","grovesdebate",""
"2012-11-03 04:44:49","grovesdebate",""
"2012-11-03 04:43:44","grovesdebate",""
"2012-11-01 14:50:52","grovesdebate",""
"2012-11-01 14:50:44","grovesdebate",""
"2012-11-01 09:18:58","grovesdebate",""
"2012-10-31 15:21:47","grovesdebate",""
"2012-10-31 15:21:15","grovesdebate",""
"2012-10-31 15:20:53","grovesdebate",""
"2012-10-31 15:18:30","grovesdebate",""
"2012-10-31 15:18:23","grovesdebate",""
"2012-10-31 15:13:25","grovesdebate",""
"2012-10-31 13:31:20","grovesdebate",""
"2012-10-31 13:28:56","grovesdebate",""
"2012-10-31 13:27:50","grovesdebate",""
"2012-10-31 13:11:03","grovesdebate",""
"2012-10-31 12:31:23","grovesdebate",""
"2012-10-31 07:57:48","grovesdebate",""
"2012-10-14 13:06:27","grovesdebate",""
"2012-10-14 13:05:21","grovesdebate",""
"2012-10-14 13:02:10","grovesdebate",""
"2012-10-14 12:59:58","grovesdebate",""
"2012-10-14 12:45:35","grovesdebate",""
"2012-10-07 22:41:34","grovesdebate",""
"2012-10-06 17:05:18","grovesdebate",""
"2012-10-06 17:03:16","grovesdebate",""
"2012-10-06 16:39:26","grovesdebate",""
"2012-10-06 16:39:22","grovesdebate",""
"2012-10-06 16:37:43","grovesdebate",""
"2012-10-06 16:28:37","grovesdebate",""
"2012-10-06 07:07:17","grovesdebate",""
"2012-09-20 22:05:57","grovesdebate",""
"2012-09-20 20:24:48","bmeloche",""
"2012-09-20 20:24:24","bmeloche",""
"2012-09-20 20:22:30","bmeloche",""
"2012-09-20 20:09:53","bmeloche",""
"2012-09-20 20:05:28","bmeloche",""
"2012-09-19 13:20:23","grovesdebate",""
"2012-09-18 17:45:11","grovesdebate",""
"2012-09-18 11:43:05","grovesdebate",""
"2012-09-18 11:37:05","grovesdebate",""
"2012-09-18 11:34:59","grovesdebate",""
"2012-09-18 11:26:43","grovesdebate",""
"2012-09-18 11:07:16","grovesdebate",""
"2012-09-18 11:03:47","grovesdebate",""
"2012-09-18 10:55:38","grovesdebate",""
"2012-09-11 19:35:54","grovesdebate",""
"2012-09-11 19:35:32","grovesdebate",""
"2012-09-11 19:32:17","grovesdebate",""
"2012-09-10 11:04:14","grovesdebate",""
"2012-09-10 11:03:32","grovesdebate",""
"2012-09-09 09:20:07","grovesdebate",""
"2012-09-09 09:09:49","grovesdebate",""
"2012-09-09 08:57:17","grovesdebate",""
"2012-09-09 08:56:18","grovesdebate",""
"2012-09-09 08:53:41","grovesdebate",""
"2012-09-09 08:53:39","grovesdebate",""
"2012-09-07 20:39:37","grovesdebate",""
