Date (America/Los_Angeles),Author,Comment
"2013-01-21 09:46:53","julian_asilis",""
"2013-01-14 11:19:33","soriajake",""
"2013-01-14 11:18:42","soriajake",""
"2013-01-14 08:12:47","soriajake",""
"2012-12-09 18:27:26","soriajake",""
"2012-11-29 13:42:23","soriajake",""
"2012-11-23 20:18:02","soriajake",""
"2012-11-23 15:23:34","soriajake",""
"2012-11-21 10:26:20","soriajake",""
"2012-11-21 08:03:14","soriajake",""
"2012-11-20 13:49:46","soriajake",""
"2012-11-20 13:41:27","soriajake",""
"2012-11-14 19:21:22","soriajake",""
"2012-11-14 18:39:50","soriajake",""
"2012-11-13 15:03:17","soriajake",""
