Date (America/Los_Angeles),Author,Comment
"2013-04-27 11:18:31","jreubenclark",""
"2013-02-12 23:06:36","DebateRyan","Reverted to Feb 6, 2013 3:53 pm"
"2013-02-12 23:04:09","DebateRyan","Reverted to Feb 6, 2013 3:48 pm"
"2013-02-12 09:54:50","andrewh.whs",""
"2013-02-07 14:43:13","DebateMichael",""
"2013-02-06 12:53:47","DebateRyan","Reverted to Feb 6, 2013 3:39 pm: Hayes and Michael please stop"
"2013-02-06 12:48:43","DebateMichael",""
"2013-02-06 12:39:36","DebateRyan","Reverted to Feb 5, 2013 7:01 pm"
"2013-02-06 12:36:39","DebateMichael",""
"2013-02-06 12:28:31","andrewh.whs",""
"2013-02-06 12:28:14","andrewh.whs",""
"2013-02-05 16:01:06","DebateRyan",""
"2013-02-04 13:03:13","DebateRyan",""
"2013-02-03 13:18:28","DebateRyan",""
"2013-02-03 13:06:33","DebateRyan",""
"2013-02-03 10:48:55","DebateRyan",""
"2013-02-03 10:47:45","DebateRyan",""
"2013-02-02 11:59:53","DebateRyan",""
"2013-01-06 22:23:10","DebateRyan",""
"2013-01-05 11:37:50","DebateRyan",""
"2012-12-01 06:35:41","DebateRyan",""
"2012-12-01 06:34:24","DebateRyan",""
"2012-11-18 11:34:38","DebateRyan",""
"2012-11-02 11:11:24","DebateRyan",""
"2012-10-31 15:35:23","DebateRyan",""
"2012-10-31 08:48:36","DebateRyan",""
"2012-10-27 01:41:01","DebateRyan",""
"2012-10-22 15:20:53","DebateRyan",""
"2012-10-22 15:20:12","DebateRyan",""
"2012-10-22 15:16:22","DebateRyan",""
"2012-10-22 15:15:46","DebateRyan",""
"2012-10-22 14:41:49","DebateRyan","Reverted to Oct 19, 2012 4:50 pm"
"2012-10-22 08:49:17","andrewh.whs",""
"2012-10-22 08:49:11","andrewh.whs",""
"2012-10-19 13:50:42","DebateRyan",""
"2012-10-17 19:31:54","DebateRyan",""
"2012-09-29 15:12:29","DebateRyan",""
"2012-09-29 15:04:05","DebateRyan",""
"2012-09-29 15:02:17","DebateRyan",""
"2012-09-29 15:00:56","DebateRyan",""
"2012-09-29 14:51:15","DebateRyan",""
"2012-09-29 14:22:06","DebateRyan",""
"2012-09-29 14:21:07","DebateRyan",""
"2012-09-29 14:20:32","DebateRyan",""
"2012-09-29 14:12:27","DebateRyan",""
"2012-09-23 10:02:40","DebateRyan",""
"2012-09-23 05:14:35","DebateRyan",""
"2012-09-22 14:13:13","DebateRyan",""
"2012-09-22 14:12:40","DebateRyan",""
"2012-09-22 08:07:20","DebateRyan",""
"2012-09-22 08:05:27","DebateRyan",""
"2012-09-09 20:29:23","DebateRyan",""
