Date (America/Los_Angeles),Author,Comment
"2013-02-27 09:47:59","christopher.s.lee11",""
"2013-02-27 09:47:18","christopher.s.lee11",""
"2013-02-27 09:47:09","christopher.s.lee11",""
"2013-02-27 09:29:13","christopher.s.lee11",""
"2013-02-27 09:27:32","christopher.s.lee11",""
"2013-02-13 10:30:25","christopher.s.lee11",""
"2013-02-13 10:29:36","christopher.s.lee11",""
"2013-02-13 10:28:46","christopher.s.lee11",""
"2013-02-07 11:24:42","christopher.s.lee11",""
"2012-10-03 09:28:52","christopher.s.lee11",""
"2012-10-03 09:17:13","christopher.s.lee11",""
"2012-09-17 12:27:50","christopher.s.lee11",""
"2012-09-10 17:34:53","christopher.s.lee11",""
"2012-09-10 17:05:27","christopher.s.lee11",""
"2012-09-10 16:49:23","christopher.s.lee11",""
"2012-09-10 16:48:03","christopher.s.lee11",""
