Date (America/Los_Angeles),Author,Comment
"2013-02-12 22:24:05","CH_NU",""
"2013-02-12 22:22:13","CH_NU",""
"2013-02-09 22:11:50","CH_NU",""
"2013-02-08 23:19:50","CH_NU",""
"2013-01-20 13:11:03","CH_NU",""
"2012-12-01 21:48:05","CH_NU",""
"2012-12-01 21:39:49","CH_NU",""
"2012-11-18 22:49:49","CH_NU",""
"2012-11-03 02:11:58","CH_NU",""
"2012-11-02 09:57:50","CH_NU",""
"2012-10-31 00:04:39","CH_NU",""
"2012-10-27 12:02:44","CH_NU",""
"2012-10-27 12:01:12","CH_NU",""
"2012-10-27 11:59:40","CH_NU",""
"2012-10-26 22:53:30","CH_NU",""
"2012-10-26 22:27:21","CH_NU",""
"2012-10-10 21:37:22","CH_NU",""
"2012-10-10 21:31:44","CH_NU",""
"2012-10-10 21:25:36","CH_NU",""
"2012-10-10 21:20:51","CH_NU",""
"2012-10-07 03:30:51","K_dawg1111",""
"2012-10-07 03:30:04","K_dawg1111",""
"2012-10-01 13:24:43","CH_NU",""
"2012-10-01 13:09:13","CH_NU",""
"2012-09-09 15:42:52","CH_NU",""
"2012-09-09 15:42:32","CH_NU",""
"2012-09-09 15:40:01","CH_NU",""
