Date (America/Los_Angeles),Author,Comment
"2013-02-18 09:29:15","rkezios",""
"2013-02-18 09:25:01","rkezios",""
"2013-02-17 15:37:40","rkezios",""
"2013-02-17 15:36:16","rkezios",""
"2013-02-17 09:45:52","rkezios",""
"2013-02-16 21:48:16","rkezios",""
"2013-02-16 21:46:38","rkezios",""
"2013-02-16 12:23:57","rkezios",""
"2013-02-16 12:21:54","rkezios",""
"2013-02-06 20:38:25","rkezios",""
"2013-02-06 20:30:36","rkezios",""
"2013-02-06 20:27:42","rkezios",""
"2013-01-26 14:04:17","rkezios",""
"2013-01-26 12:32:35","rkezios",""
"2013-01-26 09:52:31","rkezios",""
"2013-01-26 09:51:26","rkezios",""
"2013-01-25 19:40:44","rkezios",""
"2013-01-25 17:50:45","rkezios",""
"2012-11-30 21:42:57","viviennep1218",""
"2012-11-30 21:35:01","rkezios",""
"2012-11-30 09:12:21","rkezios",""
"2012-11-30 09:11:21","rkezios",""
"2012-11-29 20:33:06","rkezios",""
"2012-11-29 20:28:14","rkezios",""
"2012-11-29 16:00:33","viviennep1218",""
"2012-11-17 13:07:26","rkezios",""
"2012-11-17 10:16:11","rkezios",""
"2012-11-17 10:11:34","rkezios",""
"2012-11-17 10:09:46","rkezios",""
"2012-11-17 08:14:21","rkezios",""
"2012-10-27 18:46:41","rkezios",""
"2012-10-27 18:43:45","rkezios",""
"2012-10-27 15:53:24","rkezios",""
"2012-10-26 12:19:32","rkezios",""
"2012-10-20 18:09:29","rkezios",""
"2012-10-20 18:08:41","rkezios",""
"2012-10-20 18:08:00","rkezios",""
"2012-10-20 18:04:39","rkezios",""
"2012-10-20 18:03:09","rkezios",""
"2012-10-20 17:59:16","rkezios",""
"2012-10-20 17:56:10","rkezios",""
"2012-10-19 17:09:22","rkezios",""
"2012-10-19 17:07:41","rkezios",""
"2012-10-19 10:55:34","rkezios",""
"2012-10-19 10:54:07","rkezios",""
"2012-10-19 10:51:47","rkezios",""
"2012-09-30 17:09:17","rkezios",""
"2012-09-30 16:58:45","rkezios",""
"2012-09-30 16:58:02","rkezios",""
"2012-09-30 16:54:39","rkezios",""
"2012-09-23 07:55:48","rkezios",""
"2012-09-23 07:53:18","rkezios",""
"2012-09-23 07:51:53","rkezios",""
"2012-09-23 07:51:26","rkezios",""
"2012-09-22 13:51:48","rkezios",""
"2012-09-22 13:51:06","rkezios",""
"2012-09-22 13:48:22","rkezios",""
"2012-09-22 13:44:29","rkezios",""
"2012-09-22 13:44:04","rkezios",""
"2012-09-22 13:43:21","rkezios",""
"2012-09-22 13:39:14","rkezios",""
"2012-09-22 11:40:14","rkezios",""
"2012-09-22 11:34:05","rkezios",""
"2012-09-22 06:46:47","rkezios",""
"2012-09-12 00:07:58","rkezios",""
"2012-09-08 15:57:44","viviennep1218",""
