Date (America/Los_Angeles),Author,Comment
"2013-04-28 20:45:26","a1jalan11",""
"2013-04-28 17:54:12","a1jalan11",""
"2013-04-28 17:53:36","a1jalan11",""
"2013-02-27 15:25:24","henrytz",""
"2013-02-12 21:32:54","henrytz",""
"2013-01-12 17:18:46","henrytz",""
"2012-12-21 23:02:50","henrytz",""
"2012-11-24 13:46:18","henrytz",""
"2012-11-08 20:14:36","henrytz",""
"2012-11-02 21:30:11","tartakovsky",""
"2012-11-02 21:29:11","tartakovsky",""
"2012-11-02 21:03:45","henrytz",""
"2012-10-20 07:34:32","henrytz",""
"2012-09-22 09:49:21","henrytz",""
"2012-09-21 18:59:39","henrytz",""
"2012-09-21 12:59:53","henrytz",""
"2012-09-20 21:26:50","henrytz",""
"2012-09-20 11:34:02","henrytz",""
"2012-09-20 11:33:12","henrytz",""
"2012-09-20 08:50:38","henrytz",""
"2012-09-20 08:36:36","henrytz",""
"2012-09-08 21:49:42","tartakovsky",""
