Date (America/Los_Angeles),Author,Comment
"2013-02-24 18:57:22","NikkiDatta",""
"2013-01-24 05:21:24","NikkiDatta",""
"2013-01-24 05:20:58","NikkiDatta",""
"2013-01-24 05:20:36","NikkiDatta",""
"2013-01-24 05:10:08","NikkiDatta",""
"2013-01-24 05:05:42","NikkiDatta",""
"2013-01-24 05:04:36","NikkiDatta",""
"2013-01-24 05:04:24","NikkiDatta",""
"2013-01-24 05:03:20","NikkiDatta",""
"2013-01-24 04:56:20","NikkiDatta",""
"2013-01-24 04:52:52","NikkiDatta",""
"2013-01-24 04:52:27","NikkiDatta",""
"2013-01-24 04:40:57","NikkiDatta",""
