Date (America/Los_Angeles),Author,Comment
"2013-01-28 20:29:05","salpointedebate",""
"2013-01-27 20:19:50","salpointedebate",""
"2013-01-12 08:22:25","salpointedebate",""
"2013-01-12 08:18:14","salpointedebate",""
"2013-01-12 07:54:23","salpointedebate",""
"2013-01-12 07:51:44","salpointedebate",""
"2013-01-12 07:49:11","salpointedebate",""
"2013-01-12 07:45:27","salpointedebate",""
"2013-01-12 07:40:23","salpointedebate",""
"2013-01-12 07:31:24","salpointedebate",""
"2013-01-12 07:30:51","salpointedebate",""
"2012-11-26 17:35:22","salpointedebate",""
"2012-11-26 17:33:03","salpointedebate",""
"2012-10-05 12:35:33","salpointedebate",""
"2012-10-05 12:35:23","salpointedebate",""
"2012-09-21 16:25:37","salpointedebate",""
"2012-08-29 14:15:49","salpointedebate",""
