Date (America/Los_Angeles),Author,Comment
"2013-02-17 12:45:49","davidgallowaySDA",""
"2013-01-13 10:11:02","davidgallowaySDA",""
"2013-01-13 10:08:34","davidgallowaySDA",""
"2013-01-03 21:57:55","davidgallowaySDA",""
"2012-12-19 17:46:22","davidgallowaySDA",""
"2012-12-06 19:49:48","davidgallowaySDA",""
"2012-12-02 23:58:36","davidgallowaySDA",""
"2012-12-02 23:55:35","davidgallowaySDA",""
"2012-12-01 07:42:16","davidgallowaySDA",""
"2012-10-31 18:24:57","davidgallowaySDA",""
"2012-10-29 16:35:08","davidgallowaySDA",""
"2012-10-21 20:54:04","davidgallowaySDA",""
"2012-10-21 17:13:58","davidgallowaySDA",""
"2012-10-21 17:12:04","davidgallowaySDA",""
"2012-10-21 10:41:54","davidgallowaySDA",""
"2012-10-20 20:18:58","davidgallowaySDA",""
"2012-10-20 20:18:12","davidgallowaySDA",""
"2012-10-18 20:59:10","davidgallowaySDA",""
"2012-10-05 21:31:31","davidgallowaySDA",""
"2012-10-05 21:30:54","davidgallowaySDA",""
"2012-10-01 11:33:10","davidgallowaySDA",""
"2012-09-30 23:31:44","davidgallowaySDA",""
"2012-09-28 17:44:42","davidgallowaySDA",""
"2012-09-25 14:05:07","sda2nr",""
"2012-09-24 09:56:23","sda2nr",""
"2012-09-23 09:01:14","sda2nr",""
"2012-09-22 12:14:29","sda2nr",""
"2012-09-22 10:16:36","sda2nr",""
