Date (America/Los_Angeles),Author,Comment
"2012-10-15 18:07:45","luzlopez8301",""
"2012-10-15 18:03:49","luzlopez8301",""
"2012-10-15 18:02:50","luzlopez8301",""
"2012-09-07 22:40:00","luzlopez8301",""
"2012-09-07 22:01:48","luzlopez8301",""
"2012-09-07 21:59:47","luzlopez8301",""
"2012-09-07 21:59:07","luzlopez8301",""
"2012-09-07 21:58:26","luzlopez8301",""
"2012-09-07 21:57:47","luzlopez8301",""
"2012-09-07 21:57:44","luzlopez8301",""
"2012-09-07 21:57:26","luzlopez8301",""
"2012-09-07 21:56:30","luzlopez8301",""
