Date (America/Los_Angeles),Author,Comment
"2012-12-09 07:44:53","MikeSaulnierWC",""
"2012-12-09 07:40:47","MikeSaulnierWC",""
"2012-12-09 07:40:17","MikeSaulnierWC",""
"2012-12-09 07:39:16","MikeSaulnierWC",""
"2012-10-24 19:06:35","MikeSaulnierWC",""
"2012-10-24 12:50:34","MikeSaulnierWC",""
"2012-10-24 12:49:23","MikeSaulnierWC",""
"2012-10-24 12:47:06","MikeSaulnierWC",""
"2012-10-24 12:44:16","MikeSaulnierWC",""
"2012-10-24 12:41:09","MikeSaulnierWC",""
"2012-10-24 12:40:06","MikeSaulnierWC",""
"2012-10-24 12:38:52","MikeSaulnierWC",""
"2012-10-24 12:28:40","MikeSaulnierWC",""
"2012-10-24 12:27:38","MikeSaulnierWC",""
"2012-10-24 12:27:14","MikeSaulnierWC",""
"2012-10-24 06:32:41","MikeSaulnierWC",""
