Date (America/Los_Angeles),Author,Comment
"2013-08-04 07:24:24","chhsdebate",""
"2013-08-03 22:07:46","chhsdebate",""
"2013-08-03 22:07:35","chhsdebate",""
"2013-04-16 21:00:18","chhsdebate",""
"2013-02-28 16:20:25","chhsdebate",""
"2013-02-12 19:15:08","chhsdebate",""
"2013-02-01 21:57:12","chhsdebate",""
"2013-01-31 18:59:25","chhsdebate",""
"2013-01-30 19:56:10","chhsdebate",""
"2013-01-30 19:55:02","chhsdebate",""
"2013-01-30 19:48:33","chhsdebate",""
"2013-01-30 19:48:30","chhsdebate",""
"2013-01-28 18:23:42","chhsdebate",""
"2013-01-26 21:07:37","chhsdebate",""
"2013-01-14 15:46:49","chhsdebate",""
"2013-01-14 15:45:51","chhsdebate",""
