Date (America/Los_Angeles),Author,Comment
"2013-07-01 13:47:10","VHSDebate",""
"2013-06-23 16:40:39","VHSDebate",""
"2013-06-23 16:39:03","VHSDebate",""
"2013-06-23 16:38:10","VHSDebate",""
"2013-06-23 16:36:27","VHSDebate",""
"2013-06-18 15:03:36","VHSDebate",""
"2013-06-18 14:53:20","VHSDebate",""
"2013-06-10 19:47:59","VHSDebate",""
"2013-04-21 21:40:50","VHSDebate",""
"2013-04-02 17:33:38","VHSDebate",""
"2013-04-02 17:22:40","VHSDebate",""
"2013-04-02 17:13:30","VHSDebate",""
"2013-04-02 17:09:47","VHSDebate",""
"2013-04-02 17:08:00","VHSDebate",""
"2013-04-02 17:05:07","VHSDebate",""
"2013-04-02 17:02:41","VHSDebate",""
"2013-04-02 17:01:04","VHSDebate",""
"2013-04-02 16:56:42","VHSDebate",""
"2013-04-02 16:54:44","VHSDebate",""
"2013-04-02 16:48:36","VHSDebate",""
"2013-04-02 16:40:07","VHSDebate",""
"2013-04-02 16:31:34","VHSDebate",""
"2013-03-25 22:14:05","VHSDebate",""
"2013-03-24 00:48:42","VHSDebate",""
"2013-03-24 00:47:19","VHSDebate",""
"2013-03-24 00:44:16","VHSDebate",""
"2013-03-24 00:27:21","VHSDebate",""
"2013-03-24 00:22:22","VHSDebate",""
"2013-03-24 00:01:29","VHSDebate",""
"2013-03-10 16:23:19","VHSDebate",""
"2013-03-08 11:48:39","VHSDebate",""
"2013-03-04 11:24:36","VHSDebate",""
"2013-03-04 11:23:32","VHSDebate",""
"2013-03-04 11:22:41","VHSDebate",""
"2013-03-01 23:48:58","VHSDebate",""
"2013-03-01 23:45:48","VHSDebate",""
"2013-03-01 23:44:56","VHSDebate",""
"2013-03-01 23:43:54","VHSDebate",""
"2013-02-17 21:35:47","VHSDebate",""
"2013-02-17 21:25:55","VHSDebate",""
"2013-02-17 21:17:24","VHSDebate",""
"2013-02-17 21:14:01","VHSDebate",""
"2013-02-16 08:06:17","VHSDebate",""
"2013-02-09 19:08:24","VHSDebate",""
"2013-02-09 19:07:58","VHSDebate",""
"2013-02-09 19:04:25","VHSDebate",""
"2013-01-28 20:12:53","VHSDebate",""
"2013-01-28 17:08:40","VHSDebate",""
"2013-01-27 20:12:43","VHSDebate",""
"2013-01-27 20:12:05","VHSDebate","Reverted to Jan 27, 2013 7:04 pm: ?"
"2013-01-27 19:38:29","VHSDebate",""
"2013-01-27 19:33:14","VHSDebate",""
"2013-01-27 19:04:49","VHSDebate",""
"2013-01-17 17:54:48","VHSDebate",""
"2013-01-17 17:52:50","VHSDebate",""
"2013-01-14 21:05:37","VHSDebate",""
"2013-01-12 22:54:06","VHSDebate",""
"2013-01-12 22:50:42","VHSDebate",""
"2013-01-12 21:27:59","VHSDebate",""
"2013-01-10 11:55:28","VHSDebate",""
"2013-01-10 11:51:19","VHSDebate",""
"2013-01-10 11:50:25","VHSDebate",""
"2013-01-10 11:41:40","VHSDebate",""
"2013-01-10 11:36:17","VHSDebate",""
"2013-01-10 11:35:55","VHSDebate",""
"2013-01-10 11:32:14","VHSDebate",""
"2013-01-10 11:30:21","VHSDebate",""
"2013-01-10 11:20:43","VHSDebate",""
