Date (America/Los_Angeles),Author,Comment
"2013-04-01 19:22:12","billbatterman",""
"2013-03-26 11:50:59","billbatterman",""
"2012-09-05 07:04:09","billbatterman",""
"2012-09-05 07:04:00","billbatterman",""
"2012-09-05 07:03:34","billbatterman",""
"2012-09-05 07:02:45","billbatterman",""
"2012-09-05 07:02:19","billbatterman",""
"2012-09-05 02:20:25","billbatterman",""
"2012-09-05 02:20:01","billbatterman",""
"2012-09-05 02:12:14","billbatterman",""
"2012-09-05 02:11:52","billbatterman",""
"2012-08-30 06:51:48","billbatterman",""
"2011-10-22 12:42:55","billbatterman",""
"2011-10-22 12:42:42","billbatterman",""
"2011-10-22 12:41:49","billbatterman",""
"2011-10-22 12:39:28","billbatterman",""
"2011-10-20 06:54:01","billbatterman",""
"2011-10-20 06:52:22","billbatterman",""
"2011-10-20 06:52:11","billbatterman",""
"2011-10-20 06:50:47","billbatterman",""
"2011-10-20 06:50:13","billbatterman",""
"2011-10-20 06:49:50","billbatterman",""
"2011-09-02 07:55:16","billbatterman",""
"2011-09-02 07:34:27","billbatterman",""
"2011-09-02 06:57:28","billbatterman",""
"2011-09-02 06:53:02","billbatterman",""
"2010-09-19 13:49:20","billbatterman",""
"2010-09-15 11:07:20","billbatterman",""
"2010-09-09 21:30:59","billbatterman",""
"2010-09-09 21:01:13","billbatterman",""
"2010-09-06 11:10:15","billbatterman",""
"2010-09-06 08:32:11","billbatterman",""
"2010-09-06 08:29:19","billbatterman",""
"2010-09-05 11:06:31","billbatterman",""
"2010-09-05 11:06:03","billbatterman",""
"2010-09-03 15:40:41","billbatterman",""
"2010-09-03 14:51:31","billbatterman",""
"2010-09-03 14:51:11","billbatterman",""
"2010-09-03 14:50:23","billbatterman",""
"2010-09-03 14:49:58","billbatterman",""
"2010-09-03 14:49:37","billbatterman",""
"2010-09-03 14:48:30","billbatterman",""
"2010-09-03 14:47:52","billbatterman",""
"2010-09-03 14:47:22","billbatterman",""
"2010-09-03 14:46:20","billbatterman",""
"2010-09-03 14:44:53","billbatterman",""
"2010-09-03 14:23:21","billbatterman",""
"2010-09-03 14:22:40","billbatterman",""
"2010-09-03 14:20:01","billbatterman",""
