Date (America/Los_Angeles),Author,Comment
"2011-01-07 23:15:03","pcdsdebate",""
"2011-01-07 23:08:18","pcdsdebate",""
"2011-01-07 22:59:51","pcdsdebate",""
"2011-01-07 22:59:30","pcdsdebate",""
"2011-01-07 22:58:23","pcdsdebate",""
"2011-01-07 22:49:44","pcdsdebate",""
"2011-01-07 22:49:19","pcdsdebate",""
"2011-01-07 22:48:55","pcdsdebate",""
"2011-01-07 22:45:31","pcdsdebate",""
"2011-01-07 22:44:02","pcdsdebate",""
"2011-01-07 22:43:32","pcdsdebate",""
"2011-01-07 22:43:01","pcdsdebate",""
"2011-01-07 22:37:48","pcdsdebate",""
"2010-10-31 19:54:32","pcdsdebate",""
"2010-10-29 17:41:12","pcdsdebate",""
"2010-10-29 17:10:58","pcdsdebate",""
"2010-10-29 17:07:23","pcdsdebate",""
"2010-10-29 16:54:00","pcdsdebate",""
"2010-10-29 12:35:53","pcdsdebate",""
"2010-10-29 12:33:15","pcdsdebate",""
"2010-10-29 12:28:51","pcdsdebate",""
"2010-10-29 12:18:33","pcdsdebate",""
