Date (America/Los_Angeles),Author,Comment
"2011-04-20 10:53:15","MarshfieldDebate",""
"2011-04-20 10:52:18","MarshfieldDebate",""
"2010-11-08 07:28:14","MarshfieldDebate",""
"2010-11-01 12:22:00","MarshfieldDebate",""
"2010-11-01 12:20:41","MarshfieldDebate",""
"2010-11-01 12:16:48","MarshfieldDebate",""
"2010-10-30 09:49:34","MarshfieldDebate",""
"2010-10-30 09:48:53","MarshfieldDebate",""
"2010-10-09 22:24:15","MarshfieldDebate",""
"2010-10-09 21:58:10","MarshfieldDebate",""
"2010-10-09 21:55:56","MarshfieldDebate",""
"2010-10-09 21:53:01","MarshfieldDebate",""
