Date (America/Los_Angeles),Author,Comment
"2011-02-05 12:42:22","leftyrosenthal",""
"2011-02-05 12:39:00","leftyrosenthal",""
"2011-02-05 12:32:11","leftyrosenthal",""
"2010-11-07 20:05:04","leftyrosenthal",""
"2010-11-05 18:46:13","leftyrosenthal",""
"2010-10-18 20:57:24","leftyrosenthal",""
"2010-09-26 19:22:47","leftyrosenthal",""
"2010-09-26 19:21:53","leftyrosenthal",""
"2010-09-25 20:08:04","leftyrosenthal",""
"2010-09-25 19:58:51","leftyrosenthal",""
"2010-09-25 19:57:46","leftyrosenthal",""
"2010-09-25 19:56:48","leftyrosenthal",""
"2010-09-25 19:49:28","leftyrosenthal",""
"2010-09-15 22:03:12","",""
"2010-09-15 19:13:48","leftyrosenthal01",""
"2010-09-15 19:13:20","leftyrosenthal01",""
"2010-09-15 19:13:05","leftyrosenthal01",""
"2010-09-10 19:12:37","leftyrosenthal01",""
"2010-09-08 18:16:11","leftyrosenthal01",""
"2010-09-08 17:39:07","leftyrosenthal01",""
