Date (America/Los_Angeles),Author,Comment
"2011-04-18 16:16:06","ThatDudeZach",""
"2011-04-18 16:08:54","ThatDudeZach",""
"2011-04-18 16:05:06","ThatDudeZach",""
"2011-02-13 09:45:45","ThatDudeZach",""
"2011-02-13 09:38:44","ThatDudeZach",""
"2011-01-28 11:55:31","ThatDudeZach",""
"2011-01-15 15:07:36","ThatDudeZach",""
"2010-12-11 16:39:30","ThatDudeZach",""
"2010-12-11 16:34:59","ThatDudeZach",""
"2010-12-11 16:33:59","ThatDudeZach",""
"2010-12-11 16:31:54","ThatDudeZach",""
"2010-12-08 12:42:32","ThatDudeZach",""
"2010-12-03 21:53:48","ThatDudeZach",""
"2010-11-27 10:33:57","ThatDudeZach",""
"2010-10-31 07:41:48","ThatDudeZach",""
"2010-10-19 10:44:45","ThatDudeZach",""
"2010-10-18 15:48:56","ThatDudeZach",""
"2010-10-17 16:27:43","ThatDudeZach",""
"2010-10-17 10:05:33","ThatDudeZach",""
"2010-10-17 10:04:54","ThatDudeZach",""
"2010-10-17 10:01:41","ThatDudeZach",""
"2010-10-17 09:45:41","ThatDudeZach",""
"2010-10-17 09:07:37","ThatDudeZach",""
"2010-10-17 09:06:50","ThatDudeZach",""
"2010-10-17 09:04:38","ThatDudeZach",""
"2010-10-17 09:02:42","ThatDudeZach",""
"2010-10-17 09:01:35","ThatDudeZach",""
"2010-10-17 09:00:22","ThatDudeZach",""
"2010-10-17 08:57:48","ThatDudeZach",""
"2010-10-17 08:55:19","ThatDudeZach",""
"2010-10-17 08:52:43","ThatDudeZach",""
"2010-10-17 08:51:30","ThatDudeZach",""
"2010-10-17 08:48:21","ThatDudeZach",""
"2010-10-17 08:45:31","ThatDudeZach",""
"2010-10-17 08:44:46","ThatDudeZach",""
"2010-10-17 08:39:40","ThatDudeZach",""
"2010-10-17 08:32:41","ThatDudeZach",""
"2010-10-17 08:28:29","ThatDudeZach",""
"2010-10-16 10:31:10","ThatDudeZach",""
"2010-10-15 17:01:47","ThatDudeZach",""
"2010-10-12 12:24:13","ThatDudeZach",""
"2010-10-06 15:56:12","ThatDudeZach",""
"2010-10-06 15:53:05","ThatDudeZach",""
"2010-10-06 15:52:27","ThatDudeZach",""
"2010-09-28 03:46:28","ThatDudeZach",""
"2010-09-28 03:43:12","ThatDudeZach",""
"2010-09-28 03:42:41","ThatDudeZach",""
"2010-09-27 09:34:30","ThatDudeZach",""
"2010-09-27 09:31:46","ThatDudeZach",""
"2010-09-25 07:51:31","ThatDudeZach",""
"2010-09-25 07:50:56","ThatDudeZach",""
"2010-09-24 20:50:12","ThatDudeZach",""
"2010-09-15 07:44:56","billbatterman",""
