Date (America/Los_Angeles),Author,Comment
"2011-05-20 18:06:45","eric.marcus",""
"2011-03-12 12:15:24","eric.marcus",""
"2011-03-12 12:12:09","eric.marcus",""
"2011-03-12 12:08:58","eric.marcus",""
"2011-03-12 11:58:20","eric.marcus",""
"2011-02-23 14:54:04","eric.marcus",""
"2011-02-13 10:40:56","eric.marcus",""
"2011-02-07 07:27:06","mccuedebate",""
"2011-02-05 15:19:51","eric.marcus",""
"2011-02-05 15:10:35","eric.marcus",""
"2011-02-05 15:02:42","eric.marcus",""
"2011-01-21 11:42:04","MichaelMarcusDebate",""
"2011-01-21 11:22:12","db8erbibas",""
"2011-01-21 05:22:35","eric.marcus",""
"2011-01-20 19:37:54","kinkaiddr",""
"2011-01-18 14:28:56","eric.marcus",""
"2011-01-18 14:26:08","eric.marcus",""
"2011-01-17 17:42:50","eric.marcus",""
"2011-01-17 16:27:06","eric.marcus",""
"2011-01-17 16:22:26","eric.marcus",""
"2011-01-17 16:17:04","eric.marcus",""
"2011-01-17 16:12:38","eric.marcus",""
"2011-01-17 15:34:42","eric.marcus",""
"2011-01-17 15:32:01","eric.marcus",""
"2011-01-17 15:30:09","eric.marcus",""
"2011-01-17 15:04:32","eric.marcus",""
"2011-01-17 15:03:08","eric.marcus",""
"2011-01-17 14:28:00","eric.marcus",""
"2011-01-17 14:16:18","eric.marcus",""
"2011-01-17 13:40:02","eric.marcus",""
"2011-01-17 13:28:37","eric.marcus",""
"2011-01-17 13:27:46","eric.marcus",""
"2011-01-17 13:26:36","eric.marcus",""
"2011-01-17 13:25:41","eric.marcus",""
"2011-01-17 13:24:40","eric.marcus",""
"2011-01-17 12:56:32","eric.marcus",""
"2011-01-17 12:55:35","eric.marcus",""
"2011-01-17 12:50:53","eric.marcus",""
"2011-01-17 12:46:50","eric.marcus",""
"2011-01-17 12:34:13","eric.marcus",""
"2011-01-17 12:30:20","eric.marcus",""
"2011-01-17 12:29:02","eric.marcus",""
"2011-01-17 12:20:16","eric.marcus",""
"2011-01-17 12:18:44","eric.marcus",""
"2011-01-17 12:18:37","eric.marcus",""
"2011-01-17 12:16:10","eric.marcus",""
"2011-01-17 12:15:58","eric.marcus",""
"2010-12-12 18:27:53","MichaelMarcusDebate",""
"2010-11-25 19:42:59","eric.marcus",""
"2010-11-06 10:53:21","matt.g.marcus",""
"2010-11-06 10:50:50","matt.g.marcus",""
"2010-11-06 10:45:36","eric.marcus",""
"2010-10-02 16:42:22","eric.marcus",""
