Date (America/Los_Angeles),Author,Comment
"2011-01-18 09:01:31","jlevs95",""
"2011-01-18 08:57:00","jlevs95",""
"2010-12-05 16:07:24","jlevs95",""
"2010-09-30 13:03:39","jlevs95",""
"2010-09-30 13:02:41","jlevs95",""
"2010-09-30 12:56:47","jlevs95",""
"2010-09-30 10:05:53","jlevs95",""
"2010-09-30 10:00:45","jlevs95",""
"2010-09-30 08:07:10","jlevs95",""
"2010-09-30 08:06:45","jlevs95",""
"2010-09-30 08:04:45","jlevs95",""
"2010-09-30 07:59:03","jlevs95",""
"2010-09-30 07:45:57","jlevs95",""
"2010-09-30 07:39:00","jlevs95",""
"2010-09-30 07:38:13","jlevs95",""
"2010-09-30 07:37:10","jlevs95",""
"2010-09-30 07:01:11","jlevs95",""
"2010-09-30 07:00:05","jlevs95",""
"2010-09-29 08:03:03","jlevs95",""
"2010-09-28 16:04:23","jlevs95",""
"2010-09-28 16:03:09","jlevs95",""
"2010-09-28 16:01:46","jlevs95",""
"2010-09-28 16:01:09","jlevs95",""
"2010-09-28 15:59:36","jlevs95",""
"2010-09-28 15:57:36","jlevs95",""
