Date (America/Los_Angeles),Author,Comment
"2011-01-08 21:42:44","azimm11",""
"2011-01-07 21:44:49","azimm11",""
"2010-11-20 20:27:13","azimm11",""
"2010-11-20 13:18:25","marshall_thompson",""
"2010-11-20 13:17:52","marshall_thompson",""
"2010-11-20 13:16:57","marshall_thompson",""
"2010-11-20 11:50:53","marshall_thompson",""
"2010-11-20 10:41:30","marshall_thompson",""
"2010-10-17 05:34:30","azimm11",""
"2010-10-15 05:30:01","azimm11",""
"2010-10-15 05:18:58","azimm11",""
"2010-09-15 13:42:28","",""
"2010-09-15 08:05:15","billbatterman",""
"2010-09-14 18:11:03","",""
"2010-09-13 08:34:00","",""
"2010-09-12 12:01:04","azimm11",""
"2010-09-12 07:40:19","azimm11",""
"2010-09-12 07:36:05","azimm11",""
"2010-09-12 07:35:10","azimm11",""
"2010-09-12 05:50:35","azimm11",""
"2010-09-11 10:43:52","mstein525",""
