Date (America/Los_Angeles),Author,Comment
"2012-01-02 13:37:42","sam.gustavson",""
"2012-01-02 13:35:58","sam.gustavson",""
"2012-01-02 13:30:13","sam.gustavson",""
"2012-01-02 13:26:32","sam.gustavson",""
"2012-01-02 13:23:12","sam.gustavson",""
"2012-01-02 13:23:08","sam.gustavson",""
"2012-01-02 13:21:47","sam.gustavson",""
"2012-01-02 13:14:41","sam.gustavson",""
"2012-01-02 13:13:56","sam.gustavson",""
"2012-01-02 13:13:07","sam.gustavson",""
"2012-01-02 13:08:31","sam.gustavson",""
"2012-01-02 13:03:43","sam.gustavson",""
"2012-01-02 13:00:58","sam.gustavson",""
"2012-01-02 12:51:35","sam.gustavson",""
"2012-01-02 12:46:48","sam.gustavson",""
"2012-01-02 12:28:05","sam.gustavson",""
"2012-01-02 12:27:22","sam.gustavson",""
"2012-01-02 12:23:59","sam.gustavson",""
