Date (America/Los_Angeles),Author,Comment
"2012-12-21 08:21:55","RodrigoAzuero",""
"2012-12-08 08:52:04","RodrigoAzuero",""
"2012-12-08 08:50:52","RodrigoAzuero",""
"2012-12-07 18:04:51","RodrigoAzuero",""
"2012-12-07 18:02:33","RodrigoAzuero",""
"2012-12-05 11:11:31","RodrigoAzuero",""
"2012-12-05 10:58:26","RodrigoAzuero",""
"2012-12-05 10:55:42","RodrigoAzuero",""
"2012-11-19 17:54:29","RodrigoAzuero",""
"2012-11-19 17:16:47","RodrigoAzuero",""
"2012-11-19 17:13:34","RodrigoAzuero",""
"2012-11-19 17:07:39","RodrigoAzuero",""
"2012-11-19 17:03:20","RodrigoAzuero",""
"2012-11-19 17:00:04","RodrigoAzuero",""
"2012-11-19 16:56:14","RodrigoAzuero",""
"2012-11-19 16:52:53","RodrigoAzuero",""
"2012-11-19 16:48:47","RodrigoAzuero",""
"2012-11-19 10:33:16","RodrigoAzuero",""
"2012-11-19 10:18:33","RodrigoAzuero",""
"2012-11-17 17:12:31","RodrigoAzuero",""
"2012-11-17 17:09:08","RodrigoAzuero",""
"2012-11-17 17:08:49","RodrigoAzuero",""
"2012-11-17 17:01:48","RodrigoAzuero",""
"2012-11-17 17:00:01","RodrigoAzuero",""
"2012-11-17 16:57:45","RodrigoAzuero",""
"2012-11-14 14:57:41","RodrigoAzuero",""
"2012-11-14 14:53:03","RodrigoAzuero",""
"2012-11-14 14:11:28","RodrigoAzuero",""
"2012-11-14 13:57:20","RodrigoAzuero",""
"2012-10-15 10:34:14","RodrigoAzuero",""
"2012-10-15 10:28:09","RodrigoAzuero",""
