Date (America/Los_Angeles),Author,Comment
"2013-04-17 07:19:55","bawdebate",""
"2013-04-17 07:18:16","bawdebate",""
"2013-04-17 07:17:56","bawdebate",""
"2013-04-17 07:07:23","bawdebate",""
"2013-04-17 07:04:40","bawdebate",""
"2013-02-18 19:58:44","bawdebate",""
"2013-02-18 19:57:51","bawdebate",""
"2013-02-18 19:57:02","bawdebate",""
"2013-01-05 21:10:58","bawdebate",""
"2013-01-05 20:23:20","bawdebate",""
"2012-12-16 17:59:08","bawdebate",""
"2012-12-16 17:52:32","bawdebate",""
"2012-12-16 17:51:40","bawdebate",""
"2012-12-10 07:00:16","bawdebate",""
"2012-12-10 05:37:12","bawdebate",""
"2012-12-08 21:40:18","bawdebate",""
"2012-12-08 21:39:13","bawdebate",""
"2012-12-08 21:38:00","bawdebate",""
"2012-12-08 21:37:37","bawdebate",""
"2012-12-08 21:02:19","bawdebate",""
"2012-12-08 21:00:41","bawdebate",""
"2012-10-31 05:06:41","bawdebate",""
"2012-10-31 05:01:41","bawdebate",""
"2012-10-31 04:57:03","bawdebate",""
"2012-10-16 19:40:25","bawdebate",""
"2012-10-16 19:39:18","bawdebate",""
"2012-10-16 19:38:52","bawdebate",""
"2012-09-29 18:03:03","bawdebate",""
"2012-09-29 18:02:04","bawdebate",""
"2012-09-29 17:58:25","bawdebate",""
"2012-09-27 17:32:42","bawdebate",""
"2012-09-27 17:26:56","bawdebate",""
"2012-09-26 15:20:31","bawdebate",""
"2012-09-25 20:58:06","bawdebate",""
"2012-09-25 20:54:06","bawdebate",""
"2012-09-25 20:44:16","bawdebate",""
"2012-09-25 20:43:51","bawdebate",""
