Date (America/Los_Angeles),Author,Comment
"2012-10-17 08:45:16","soriajake",""
"2012-09-21 11:31:40","soriajake",""
"2012-09-21 11:31:16","soriajake",""
"2012-09-21 11:30:33","soriajake",""
"2012-09-11 19:18:17","soriajake",""
"2012-09-11 19:16:45","soriajake",""
"2012-09-11 17:30:10","soriajake",""
"2012-09-11 17:29:08","soriajake",""
"2012-09-11 17:25:38","soriajake",""
"2012-09-11 17:11:12","soriajake",""
"2012-09-11 17:10:00","soriajake",""
"2012-09-11 17:09:38","soriajake",""
"2012-09-10 12:09:41","soriajake",""
"2012-09-09 19:47:05","soriajake",""
"2012-09-09 19:44:24","soriajake",""
"2012-09-09 19:25:31","soriajake",""
