Date (America/Los_Angeles),Author,Comment
"2013-03-24 17:45:54","HarkerPR",""
"2013-02-11 11:09:54","HarkerPR",""
"2013-01-23 11:16:34","HarkerPR",""
"2013-01-17 10:54:13","SrikarPyda",""
"2013-01-17 10:45:24","HarkerPR",""
"2012-11-27 21:17:52","HarkerPR",""
"2012-11-27 21:16:20","HarkerPR",""
"2012-11-20 21:59:38","HarkerPR",""
"2012-11-20 12:21:37","HarkerPR",""
"2012-11-20 12:10:39","HarkerPR",""
"2012-10-22 22:17:04","HarkerPR",""
"2012-10-22 21:53:38","HarkerPR",""
"2012-10-15 21:28:54","chubert_ac",""
"2012-10-15 21:22:49","HarkerPR",""
"2012-10-15 21:21:45","HarkerPR",""
"2012-10-15 21:14:40","HarkerPR",""
"2012-10-15 21:10:14","HarkerPR",""
"2012-10-10 22:16:40","HarkerPR",""
"2012-10-10 22:16:12","HarkerPR",""
"2012-10-10 21:28:59","HarkerPR",""
"2012-10-10 21:17:53","HarkerPR",""
"2012-10-03 19:42:50","HarkerPR",""
"2012-10-02 12:16:56","HarkerPR",""
"2012-09-29 17:53:00","HarkerPR",""
"2012-09-29 17:42:44","HarkerPR",""
"2012-09-28 22:10:16","HarkerPR",""
"2012-09-28 22:05:37","HarkerPR",""
"2012-09-25 09:27:00","HarkerPR",""
"2012-09-22 22:12:13","HarkerPR",""
"2012-09-22 22:11:08","HarkerPR",""
"2012-09-22 22:10:06","HarkerPR",""
"2012-09-22 21:59:36","HarkerPR",""
"2012-09-09 22:06:53","HarkerPR",""
"2012-09-09 13:09:49","HarkerPR",""
"2012-09-09 08:04:55","HarkerPR",""
"2012-09-09 08:04:42","HarkerPR",""
"2012-09-09 08:04:07","HarkerPR",""
"2012-09-08 22:34:01","harker1",""
