Date (America/Los_Angeles),Author,Comment
"2012-10-26 13:47:48","JohnLewis1",""
"2012-10-26 13:45:15","JohnLewis1",""
"2012-10-26 13:35:35","JohnLewis1",""
"2012-10-22 14:59:05","JohnLewis1",""
"2012-10-22 14:55:56","JohnLewis1",""
"2012-10-22 14:51:49","JohnLewis1",""
"2012-10-21 22:38:04","JohnLewis1",""
"2012-10-06 21:08:33","JohnLewis1",""
"2012-10-06 12:20:40","JohnLewis1",""
"2012-10-01 20:23:52","JohnLewis1",""
"2012-10-01 20:21:33","JohnLewis1",""
"2012-10-01 20:13:43","JohnLewis1",""
"2012-10-01 20:13:07","JohnLewis1",""
"2012-09-22 11:12:58","JohnLewis1",""
"2012-09-22 11:11:46","JohnLewis1",""
"2012-09-22 10:00:05","JohnLewis1",""
"2012-09-22 09:58:30","JohnLewis1",""
"2012-09-06 18:25:52","JohnLewis1",""
