Date (America/Los_Angeles),Author,Comment
"2013-06-18 09:19:44","mcclurecronin",""
"2013-06-18 08:27:56","mcclurecronin",""
"2013-06-14 11:18:40","mcclurecronin",""
"2013-04-27 16:48:37","mcclurecronin",""
"2013-04-27 13:02:35","mcclurecronin",""
"2013-04-27 07:34:55","mcclurecronin",""
"2013-02-21 13:16:43","mcclurecronin",""
"2013-02-18 12:50:23","mcclurecronin",""
"2013-02-18 09:49:32","mcclurecronin",""
"2013-02-17 18:58:21","mcclurecronin",""
"2013-02-16 22:18:04","mcclurecronin",""
"2013-02-16 21:53:55","mcclurecronin",""
"2013-02-16 16:15:48","mcclurecronin",""
"2013-02-16 12:24:31","mcclurecronin",""
"2013-02-14 12:07:48","mcclurecronin",""
"2013-02-14 12:07:41","mcclurecronin",""
"2013-02-14 11:57:17","mcclurecronin",""
"2013-02-11 08:39:46","mcclurecronin",""
"2013-02-10 22:43:22","mcclurecronin",""
"2013-02-10 09:52:03","mcclurecronin",""
"2013-02-10 09:40:38","mcclurecronin",""
"2013-02-09 16:36:17","mcclurecronin",""
"2013-02-09 13:28:51","mcclurecronin",""
"2013-01-26 13:00:10","mcclurecronin",""
"2013-01-26 07:43:43","mcclurecronin",""
"2013-01-26 06:46:04","mcclurecronin",""
"2013-01-25 15:07:47","mcclurecronin",""
"2013-01-22 23:05:08","mcclurecronin",""
"2013-01-13 09:22:01","mcclurecronin",""
"2013-01-12 19:53:57","mcclurecronin",""
"2013-01-11 16:35:26","mcclurecronin",""
"2013-01-11 13:55:17","mcclurecronin",""
"2013-01-11 13:37:48","mcclurecronin",""
"2013-01-11 04:58:39","mcclurecronin",""
"2013-01-06 07:55:42","mcclurecronin",""
"2013-01-05 17:14:15","mcclurecronin",""
"2013-01-05 11:10:30","mcclurecronin",""
"2013-01-05 10:46:49","mcclurecronin",""
"2013-01-04 18:11:54","mcclurecronin",""
"2012-12-02 13:05:29","mcclurecronin",""
"2012-11-30 21:40:15","mcclurecronin",""
"2012-11-30 15:49:26","mcclurecronin",""
"2012-11-30 15:47:02","mcclurecronin",""
"2012-11-29 23:26:09","mcclurecronin",""
"2012-11-29 23:25:19","mcclurecronin",""
"2012-11-29 23:24:21","mcclurecronin",""
"2012-11-29 18:31:26","mcclurecronin",""
"2012-11-22 10:01:40","mcclurecronin",""
"2012-11-20 10:43:46","mcclurecronin",""
"2012-11-19 06:20:07","mcclurecronin",""
"2012-11-18 14:13:16","mcclurecronin",""
"2012-11-18 11:00:52","mcclurecronin",""
"2012-11-18 10:55:03","mcclurecronin",""
"2012-11-17 13:24:12","mcclurecronin",""
"2012-11-17 13:19:04","mcclurecronin",""
"2012-11-17 13:17:50","mcclurecronin",""
"2012-11-17 09:45:09","mcclurecronin",""
"2012-11-07 16:30:17","mcclurecronin",""
"2012-10-28 15:08:11","mcclurecronin",""
"2012-10-27 22:04:48","mcclurecronin",""
"2012-10-27 18:55:32","mcclurecronin",""
"2012-10-26 20:13:40","mcclurecronin",""
"2012-10-26 14:57:41","mcclurecronin",""
"2012-10-20 10:48:01","mcclurecronin",""
"2012-10-19 17:18:41","mcclurecronin",""
"2012-10-19 11:38:24","mcclurecronin",""
"2012-10-19 10:04:32","mcclurecronin",""
"2012-10-19 08:04:28","mcclurecronin",""
"2012-10-19 07:44:03","mcclurecronin",""
"2012-10-19 07:41:48","mcclurecronin",""
"2012-10-03 22:21:15","mcclurecronin",""
"2012-09-30 09:39:38","mcclurecronin",""
"2012-09-30 08:22:49","mcclurecronin",""
"2012-09-29 21:54:35","mcclurecronin",""
"2012-09-29 15:21:04","mcclurecronin",""
"2012-09-29 15:20:24","mcclurecronin",""
"2012-09-29 13:20:11","mcclurecronin",""
"2012-09-27 20:03:43","mcclurecronin",""
"2012-09-25 21:36:10","mcclurecronin",""
"2012-09-25 21:35:56","mcclurecronin",""
"2012-09-23 12:00:07","mcclurecronin",""
"2012-09-23 05:00:13","mcclurecronin",""
"2012-09-22 11:54:47","mcclurecronin",""
"2012-09-22 10:17:35","mcclurecronin",""
"2012-09-22 08:19:13","mcclurecronin",""
"2012-09-22 08:05:18","mcclurecronin",""
"2012-09-06 19:36:27","mcclurecronin",""
"2012-09-05 20:55:24","mcclurecronin",""
