Date (America/Los_Angeles),Author,Comment
"2013-02-17 13:05:41","jduran-UCLAB",""
"2013-01-20 15:11:09","jduran-UCLAB",""
"2013-01-16 17:40:11","jduran-UCLAB",""
"2013-01-16 17:36:09","jduran-UCLAB",""
"2013-01-16 17:21:43","jduran-UCLAB",""
"2013-01-16 17:16:50","jduran-UCLAB",""
"2012-12-10 18:59:03","jduran-UCLAB",""
"2012-12-10 07:52:47","jduran-UCLAB",""
"2012-12-10 07:49:41","jduran-UCLAB",""
"2012-12-10 07:39:22","jduran-UCLAB",""
"2012-12-10 07:27:36","jduran-UCLAB",""
"2012-12-10 07:04:11","jduran-UCLAB",""
"2012-12-10 06:43:58","jduran-UCLAB",""
"2012-12-10 06:31:11","jduran-UCLAB",""
"2012-12-10 06:27:31","jduran-UCLAB",""
"2012-12-08 20:01:31","jduran-UCLAB",""
"2012-12-08 14:09:03","jduran-UCLAB",""
"2012-11-18 07:46:54","jduran-UCLAB",""
"2012-11-18 07:42:25","jduran-UCLAB",""
"2012-11-18 07:41:25","jduran-UCLAB",""
"2012-11-18 07:40:53","jduran-UCLAB",""
"2012-11-07 16:08:43","jduran-UCLAB",""
"2012-10-25 19:38:02","jduran-UCLAB",""
"2012-10-25 19:34:18","jduran-UCLAB",""
"2012-10-18 08:40:06","jduran-UCLAB",""
"2012-10-15 08:29:19","jduran-UCLAB",""
"2012-10-14 14:45:11","jduran-UCLAB",""
"2012-10-14 14:40:10","jduran-UCLAB",""
"2012-10-14 14:32:18","jduran-UCLAB",""
"2012-10-14 14:31:26","jduran-UCLAB",""
"2012-10-14 14:19:27","jduran-UCLAB",""
"2012-10-14 14:13:24","jduran-UCLAB",""
"2012-10-14 14:01:33","jduran-UCLAB",""
"2012-10-14 13:43:19","jduran-UCLAB",""
"2012-10-14 13:42:04","jduran-UCLAB",""
"2012-10-14 13:39:17","jduran-UCLAB",""
