Date (America/Los_Angeles),Author,Comment
"2013-04-02 09:04:58","Sam_Basler",""
"2013-02-18 08:33:51","Sam_Basler",""
"2013-02-18 08:31:41","Sam_Basler",""
"2013-02-09 11:25:06","Sam_Basler",""
"2013-02-06 12:58:44","Sam_Basler",""
"2013-01-26 15:43:48","Sam_Basler",""
"2013-01-12 06:02:38","Sam_Basler",""
"2013-01-11 07:21:32","Sam_Basler",""
"2012-12-18 08:52:51","Sam_Basler",""
"2012-12-16 16:07:42","Sam_Basler",""
"2012-12-16 16:06:36","Sam_Basler",""
"2012-12-14 21:08:50","Sam_Basler",""
"2012-12-14 21:04:36","Sam_Basler",""
"2012-12-14 21:02:54","Sam_Basler",""
"2012-12-11 08:33:41","Sam_Basler",""
"2012-12-11 08:32:20","Sam_Basler",""
"2012-12-10 08:42:18","Sam_Basler",""
"2012-12-10 08:34:52","Sam_Basler",""
"2012-12-10 08:27:37","Sam_Basler",""
"2012-12-10 08:25:58","Sam_Basler",""
"2012-12-06 08:06:41","Sam_Basler",""
"2012-12-04 09:14:02","Sam_Basler",""
"2012-12-03 08:42:03","Sam_Basler",""
"2012-11-20 08:32:13","Sam_Basler",""
"2012-11-20 08:31:51","Sam_Basler",""
"2012-11-20 08:30:48","Sam_Basler",""
"2012-11-20 08:23:27","Sam_Basler",""
"2012-11-06 08:59:36","Sam_Basler",""
"2012-11-06 08:56:37","Sam_Basler",""
"2012-11-06 08:55:06","Sam_Basler",""
"2012-11-06 08:52:40","Sam_Basler",""
"2012-11-06 08:43:56","Sam_Basler",""
"2012-11-03 18:22:22","Sam_Basler",""
"2012-11-02 20:39:02","Sam_Basler",""
"2012-10-30 08:19:27","Sam_Basler",""
"2012-10-27 05:54:08","Sam_Basler",""
"2012-10-27 05:38:41","Sam_Basler",""
"2012-10-22 08:34:56","Sam_Basler",""
"2012-10-12 19:50:35","Sam_Basler",""
"2012-10-09 09:15:10","Sam_Basler",""
"2012-10-09 09:13:55","Sam_Basler",""
"2012-10-05 10:47:11","Sam_Basler",""
"2012-09-18 08:44:40","Sam_Basler",""
"2012-09-11 13:55:08","Sam_Basler",""
"2012-09-09 15:52:11","Sam_Basler",""
